replicate	window	total_slope_nm2_per_ps	total_mean_local_alpha	total_window_loglog_alpha	x_slope_nm2_per_ps	y_slope_nm2_per_ps	z_slope_nm2_per_ps	max_abs_axis_slope_share	late_to_early_slope_ratio	late_trend_class	maximum_abs_axis_slope_share_over_standard_windows	dominant_axis_at_maximum_share	axis_anisotropy_flag
rep07	0.5-2 ns	0.002819107110258652	1.2122919203647906	1.2049712496696636	0.0006521369994144228	0.0008409018693977475	0.001326068241446583	0.470385902196128	0.7655152764393325	STABLE_OR_NONMONOTONIC	0.4806289193566616	z	FALSE
rep07	1-3 ns	0.003159672632856402	1.2472166374641211	1.2952424492314492	0.0008824726339070777	0.0007585699558987837	0.0015186300430506362	0.4806289193566616	0.7655152764393325	STABLE_OR_NONMONOTONIC	0.4806289193566616	z	FALSE
rep07	2-4 ns	0.0031118474724371264	1.0549319475754089	1.1408369141875394	0.0008683616548235029	0.0008240055361733158	0.0014194802814403607	0.45615355315877115	0.7655152764393325	STABLE_OR_NONMONOTONIC	0.4806289193566616	z	FALSE
rep07	3-5 ns	0.0021580695588217396	0.7828257728278467	0.8143259170128322	0.0006902915976078803	0.0006196287060016552	0.0008481492552122384	0.3930129368375394	0.7655152764393325	STABLE_OR_NONMONOTONIC	0.4806289193566616	z	FALSE
rep08	0.5-2 ns	0.001496514086790429	0.7356726402374283	0.7911883317378751	0.0008220840810277396	0.00038251642335461277	0.00029191358240649855	0.5493326713627726	-0.12583647834893705	LATE_PLATEAU	0.6277245352513675	x	TRUE
rep08	1-3 ns	0.0008646523196586963	0.3472743385400767	0.5551086339076059	0.0004092346596434408	0.00039564401359645714	5.977364641929541e-05	0.47329388973910635	-0.12583647834893705	LATE_PLATEAU	0.6277245352513675	x	TRUE
rep08	2-4 ns	-0.00042018572048956715	-0.1800380658658197	-0.34733771946701597	-0.0003965504937789506	0.0001057706049455331	-0.00012940583165614093	0.6277245352513675	-0.12583647834893705	LATE_PLATEAU	0.6277245352513675	x	TRUE
rep08	3-5 ns	-0.00018831606248128312	-0.1862258057398848	-0.2452547395628874	-0.0003847458392682434	-0.00017876852334066607	0.0003751983001267785	0.40986539815813244	-0.12583647834893705	LATE_PLATEAU	0.6277245352513675	x	TRUE
rep09	0.5-2 ns	0.0021418827367390087	1.0874558982670584	1.081482897178719	0.0003140430590956389	0.0011718608962481888	0.0006559787813935272	0.5471172049471009	0.807718336301985	STABLE_OR_NONMONOTONIC	0.9141457200559557	y	TRUE
rep09	1-3 ns	0.0022906289187939613	1.1030557275665334	1.1434078131484886	0.00011565926101800258	0.001648207736725739	0.0005267619210496796	0.7195437563906796	0.807718336301985	STABLE_OR_NONMONOTONIC	0.9141457200559557	y	TRUE
rep09	2-4 ns	0.002126393768623683	0.9941446215358772	1.0064568732818264	3.870514559974784e-05	0.0022613652461498488	-0.0001736766231261371	0.9141457200559557	0.807718336301985	STABLE_OR_NONMONOTONIC	0.9141457200559557	y	TRUE
rep09	3-5 ns	0.0017300379606727746	1.0309666011878316	0.8544500937307734	9.333364320235959e-05	0.0019532558538187202	-0.00031655153634749564	0.8265506908973698	0.807718336301985	STABLE_OR_NONMONOTONIC	0.9141457200559557	y	TRUE
rep10	0.5-2 ns	0.003501192079405867	1.1535644337110424	1.1893839802508415	0.000860315583708247	0.0021391720458038776	0.0005017044498931897	0.6109839155603314	1.0092270375234467	STABLE_OR_NONMONOTONIC	0.6479389289061874	x	TRUE
rep10	1-3 ns	0.003299023876568488	1.0304966199126817	1.0759985433077957	0.0008247162929247415	0.00186118790866675	0.0006131196749760387	0.564163212605549	1.0092270375234467	STABLE_OR_NONMONOTONIC	0.6479389289061874	x	TRUE
rep10	2-4 ns	0.002574191695400556	0.9559187199955149	0.8422624088093706	0.0016679190099171235	0.00010058240696595798	0.0008056902785176049	0.6479389289061874	1.0092270375234467	STABLE_OR_NONMONOTONIC	0.6479389289061874	x	TRUE
rep10	3-5 ns	0.0035334977100993396	1.1997541784967962	1.1098560386147707	0.0026489870571992868	-0.000478039461988631	0.0013625501148863029	0.5900304801781214	1.0092270375234467	STABLE_OR_NONMONOTONIC	0.6479389289061874	x	TRUE
rep11	0.5-2 ns	0.0017208838678005249	0.834357419569933	0.8665542236808421	0.0004983462783932162	0.00034252988014779655	0.000880007709258629	0.5113696082140774	-0.20488574738915996	LATE_PLATEAU	0.611297099870682	x	TRUE
rep11	1-3 ns	0.0014697452989592494	0.7866114958790092	0.7729489252809487	0.0006785923311012002	-0.000220518575657312	0.0010116715435141536	0.529454069127435	-0.20488574738915996	LATE_PLATEAU	0.611297099870682	x	TRUE
rep11	2-4 ns	0.0012483793419773423	0.48628218071637264	0.7572642938340225	0.0007631306712888738	2.6831755220982795e-05	0.00045841691546691984	0.611297099870682	-0.20488574738915996	LATE_PLATEAU	0.611297099870682	x	TRUE
rep11	3-5 ns	-0.0003525845774242589	-0.1826698149272769	-0.23931687401319396	-8.646322119310828e-05	0.0002491726115013042	-0.0005152939677323231	0.6055657793085947	-0.20488574738915996	LATE_PLATEAU	0.611297099870682	x	TRUE
rep12	0.5-2 ns	0.0012966012166791064	0.6324382416428287	0.7688791029235371	0.0002631260141567664	0.0006942333085418542	0.0003392418939799051	0.5354254643692655	-0.08632829733740739	LATE_PLATEAU	0.5400989648726351	y	FALSE
rep12	1-3 ns	0.0006131380829339973	0.4577907279353732	0.39996737009718925	0.00010278508980699219	0.0003311552439162185	0.00017919774920999916	0.5400989648726351	-0.08632829733740739	LATE_PLATEAU	0.5400989648726351	y	FALSE
rep12	2-4 ns	0.000431461571625549	0.2731234444222971	0.40464597422473564	0.0002792127503035142	0.000283385068500426	-0.00013113624717789112	0.4084923638561059	-0.08632829733740739	LATE_PLATEAU	0.5400989648726351	y	FALSE
rep12	3-5 ns	-0.00011193337536151809	0.25473525801107955	-0.13677764744626203	0.0004763126250530807	-0.0002609520503980602	-0.00032729395001437043	0.4474273315335717	-0.08632829733740739	LATE_PLATEAU	0.5400989648726351	y	FALSE
rep13	0.5-2 ns	0.0017044039846336454	0.7375725154810263	0.7839493632520471	0.0002879672708985218	0.0010084627282224003	0.0004079739855129262	0.5916805741562762	0.20140918732906068	LATE_PLATEAU	0.7266104371666432	y	TRUE
rep13	1-3 ns	0.0008110047937723468	0.3918980614790826	0.48663253398488626	2.4191902078037677e-05	0.0005892845477473057	0.0001975283439471925	0.7266104371666432	0.20140918732906068	LATE_PLATEAU	0.7266104371666432	y	TRUE
rep13	2-4 ns	6.324299525906914e-05	0.17306116909287572	0.03681806203145191	-0.00029724830804098997	0.0005525679336235308	-0.00019207663032341907	0.5303500469959322	0.20140918732906068	LATE_PLATEAU	0.7266104371666432	y	TRUE
rep13	3-5 ns	0.00034328262142547535	0.4413927729151984	0.31841671290649526	-0.00011198324177774531	0.0006837986609208002	-0.00022853279771758859	0.6675669700366527	0.20140918732906068	LATE_PLATEAU	0.7266104371666432	y	TRUE
rep14	0.5-2 ns	0.002288842230003896	0.7754129830708805	0.837081825607047	0.0002820301391210108	0.001660133189652556	0.00034667890122669744	0.7253156936257527	0.34568828272402885	LATE_PLATEAU	0.7253156936257527	y	TRUE
rep14	1-3 ns	0.0017151292948838406	0.7707351893750924	0.6799546635125975	0.0004596667176932084	0.0014044001391237788	-0.00014893756193192046	0.6976637140203699	0.34568828272402885	LATE_PLATEAU	0.7253156936257527	y	TRUE
rep14	2-4 ns	0.0022234124268136393	0.751472418256643	0.9735848495667578	0.0009754273640040361	0.0012057343423922827	4.225072042027752e-05	0.5422900078500554	0.34568828272402885	LATE_PLATEAU	0.7253156936257527	y	TRUE
rep14	3-5 ns	0.0007912259399162834	0.33474447625612913	0.4122223406203468	0.00035449614858970395	3.280911758245768e-05	0.0004039206737451572	0.5104997869349	0.34568828272402885	LATE_PLATEAU	0.7253156936257527	y	TRUE
rep15	0.5-2 ns	0.0024730945621240117	1.0879415154258443	1.0533396448063173	0.0012498217997823251	0.00025034095644090943	0.0009729318058985035	0.5053675742629378	0.022949766490211056	LATE_PLATEAU	0.63909134509528	z	TRUE
rep15	1-3 ns	0.002313877216203939	0.8268128221648003	1.0450673032012205	0.0011358640800537313	0.00012049104609670484	0.0010575220900519542	0.49089211480198935	0.022949766490211056	LATE_PLATEAU	0.63909134509528	z	TRUE
rep15	2-4 ns	0.0003928976073389344	0.304872850780858	0.21659925490348458	-0.00039895818137878253	-0.00011077931120861311	0.0009026350999234888	0.63909134509528	0.022949766490211056	LATE_PLATEAU	0.63909134509528	z	TRUE
rep15	3-5 ns	5.6756942708956826e-05	0.3812207293364278	0.024591909280734927	-0.0007231046570120832	-7.99902131149693e-05	0.0008598518128314392	0.5170651721086489	0.022949766490211056	LATE_PLATEAU	0.63909134509528	z	TRUE
rep16	0.5-2 ns	0.0023250879242728405	1.1632388406368035	1.1738411290415203	0.0006382279917501833	0.0006698362564137106	0.0010170236761091512	0.4374129965115752	1.3201114394480318	LATE_UPWARD_BEND	0.7432469535095719	z	TRUE
rep16	1-3 ns	0.0026297978407369776	1.2110794094863409	1.1820847182533858	0.0004329856126185603	0.0007157187732567305	0.0014810934548619616	0.5631966959280579	1.3201114394480318	LATE_UPWARD_BEND	0.7432469535095719	z	TRUE
rep16	2-4 ns	0.0030856555983428667	1.2456254582809738	1.2751075607983464	0.00038768587751107755	0.0005994311889526694	0.002098538531879535	0.6800948663895804	1.3201114394480318	LATE_UPWARD_BEND	0.7432469535095719	z	TRUE
rep16	3-5 ns	0.003069375166555056	1.1429435719545022	1.1906691018363036	0.0007594685924304839	-5.879381425338737e-05	0.002368700388378335	0.7432469535095719	1.3201114394480318	LATE_UPWARD_BEND	0.7432469535095719	z	TRUE
rep17	0.5-2 ns	0.001712610245433415	0.8833440762901376	0.8613812833415461	0.00012597244856649858	0.0012618470505939624	0.00032479074627257546	0.7367975603082428	0.18159775113935092	LATE_PLATEAU	0.7367975603082428	y	TRUE
rep17	1-3 ns	0.0018772502964644992	0.8754518270196336	0.962893808992602	8.320921244296712e-06	0.0012258001946819676	0.0006431291805377798	0.65297642887092	0.18159775113935092	LATE_PLATEAU	0.7367975603082428	y	TRUE
rep17	2-4 ns	0.0010299440138906509	0.5736455580463445	0.6347640987602318	-9.803920627830051e-05	0.0005230548443861284	0.0006049283757827979	0.4934072678717322	0.18159775113935092	LATE_PLATEAU	0.7367975603082428	y	TRUE
rep17	3-5 ns	0.00031100616914892	0.3016814286503449	0.20565709047149583	0.0002003944761239628	-0.000916896370745593	0.0010275080637703515	0.4790696501537253	0.18159775113935092	LATE_PLATEAU	0.7367975603082428	y	TRUE
rep18	0.5-2 ns	0.0014455619210498522	0.6325304436215174	0.6970729850598479	-7.543347346233995e-05	0.0008844150115150116	0.0006365803829970955	0.5539958774593945	-0.09166608387469573	LATE_PLATEAU	0.5539958774593945	y	FALSE
rep18	1-3 ns	0.0008353848500507034	0.3479162749988625	0.46351584766298126	0.00029851149821670433	0.000317160480876703	0.00021971287096023256	0.3796579275484086	-0.09166608387469573	LATE_PLATEAU	0.5539958774593945	y	FALSE
rep18	2-4 ns	-0.00016441518719092937	-0.03637610590754021	-0.106684312081446	0.0002442142266170083	-0.00012137092986168282	-0.0002872584839472665	0.44001115452367795	-0.09166608387469573	LATE_PLATEAU	0.5539958774593945	y	FALSE
rep18	3-5 ns	-0.00013250900030102204	0.012996308961850452	-0.14777529310808998	0.00047750741232256434	-0.00031660487989743644	-0.0002934115327271475	0.439077656386765	-0.09166608387469573	LATE_PLATEAU	0.5539958774593945	y	FALSE
rep19	0.5-2 ns	0.0026824578120708898	1.00127001781146	0.9981795416032793	0.001083591320606135	0.0012333424932786325	0.0003655239981841213	0.4597807606626988	1.1086003242725335	STABLE_OR_NONMONOTONIC	0.8131550961362005	x	TRUE
rep19	1-3 ns	0.0025939764275556706	0.9897754003346887	0.9492607429042574	0.0015497405481887934	0.0006704365492727703	0.0003737993300955055	0.5974381770493934	1.1086003242725335	STABLE_OR_NONMONOTONIC	0.8131550961362005	x	TRUE
rep19	2-4 ns	0.0031152748363673477	1.075098952818765	1.0990368329432056	0.0021402789484374065	0.0006653356963432432	0.00030966019158824127	0.6870273285204197	1.1086003242725335	STABLE_OR_NONMONOTONIC	0.8131550961362005	x	TRUE
rep19	3-5 ns	0.002973773600309179	1.1141604041955522	1.0780433716678184	0.0024181391578466287	0.0004063775977662189	0.00014925684469623704	0.8131550961362005	1.1086003242725335	STABLE_OR_NONMONOTONIC	0.8131550961362005	x	TRUE
rep20	0.5-2 ns	0.002026436712540852	1.1320900759880097	1.0654550871902377	0.00039112564629291657	0.00042669126652879576	0.0012086197997180353	0.596426126825971	2.570933645254113	LATE_UPWARD_BEND	0.8807540463129817	z	TRUE
rep20	1-3 ns	0.002806415952377144	1.3840638227094066	1.32488578385644	0.00033031025135758394	0.0004004708709126953	0.0020756348301057942	0.7396034177857499	2.570933645254113	LATE_UPWARD_BEND	0.8807540463129817	z	TRUE
rep20	2-4 ns	0.004201156197644804	1.6193150052233116	1.6244962329368373	0.0003274451639975787	0.0004506745135676735	0.003423036520078683	0.8147843972091225	2.570933645254113	LATE_UPWARD_BEND	0.8807540463129817	z	TRUE
rep20	3-5 ns	0.005209834324249413	1.6653703997952436	1.714496821653081	0.0001507747088754238	0.0004704769536711977	0.004588582661703947	0.8807540463129817	2.570933645254113	LATE_UPWARD_BEND	0.8807540463129817	z	TRUE
