replicate	window	start_ps	end_ps	width_ps	R2	mean_local_alpha	window_loglog_alpha	minimum_origins	eligible	failure_reasons	normalized_violation_score	D_excluded_from_closest_rule
rep06	1.5-3.5 ns	1500.0	3500.0	2000.0	0.9871203464522015	1.2273858688939712	1.152554374804264	650	FALSE	FAIL_R2;FAIL_MEAN_ALPHA_HIGH;FAIL_LOGLOG_ALPHA_HIGH	2.0934349265805356	TRUE
rep06	1.5-4 ns	1500.0	4000.0	2500.0	0.9794739202352878	1.2666824264580272	1.241880956615065	600	FALSE	FAIL_R2;FAIL_MEAN_ALPHA_HIGH;FAIL_LOGLOG_ALPHA_HIGH	3.7991696235364896	TRUE
rep06	1.5-4.5 ns	1500.0	4500.0	3000.0	0.9813455595805655	1.266128415201489	1.2999294412924756	550	FALSE	FAIL_R2;FAIL_MEAN_ALPHA_HIGH;FAIL_LOGLOG_ALPHA_HIGH	3.7702510407137972	TRUE
rep06	1.5-5 ns	1500.0	5000.0	3500.0	0.9871325934294154	1.2401157632162165	1.317601994509548	500	FALSE	FAIL_R2;FAIL_MEAN_ALPHA_HIGH;FAIL_LOGLOG_ALPHA_HIGH	3.028885761710852	TRUE
rep06	2-3.5 ns	2000.0	3500.0	1500.0	0.9921828490161494	1.3151171348570316	1.285335311286274	650	FALSE	FAIL_R2;FAIL_MEAN_ALPHA_HIGH;FAIL_LOGLOG_ALPHA_HIGH	2.894807337026119	TRUE
rep06	2-4 ns	2000.0	4000.0	2000.0	0.9864185409257308	1.342308041734009	1.3822733283575996	600	FALSE	FAIL_R2;FAIL_MEAN_ALPHA_HIGH;FAIL_LOGLOG_ALPHA_HIGH	4.096925614755415	TRUE
rep06	2-4.5 ns	2000.0	4500.0	2500.0	0.9893557872825831	1.3265211517467126	1.4282461085224352	550	FALSE	FAIL_R2;FAIL_MEAN_ALPHA_HIGH;FAIL_LOGLOG_ALPHA_HIGH	4.144878705445548	TRUE
rep06	2-5 ns	2000.0	5000.0	3000.0	0.9932230327677445	1.2861100014227473	1.420043051658722	500	FALSE	FAIL_R2;FAIL_MEAN_ALPHA_HIGH;FAIL_LOGLOG_ALPHA_HIGH	3.719240951624487	TRUE
rep06	2.5-4 ns	2500.0	4000.0	1500.0	0.9925829466565701	1.4176334345833708	1.5153037879888758	600	FALSE	FAIL_R2;FAIL_MEAN_ALPHA_HIGH;FAIL_LOGLOG_ALPHA_HIGH	5.250762742965366	TRUE
rep06	2.5-4.5 ns	2500.0	4500.0	2000.0	0.9956486714413533	1.3790741669813136	1.5324430672944118	550	FALSE	FAIL_MEAN_ALPHA_HIGH;FAIL_LOGLOG_ALPHA_HIGH	5.146740688312489	TRUE
rep06	2.5-5 ns	2500.0	5000.0	2500.0	0.9961408659792125	1.320073901368693	1.482898333671048	500	FALSE	FAIL_MEAN_ALPHA_HIGH;FAIL_LOGLOG_ALPHA_HIGH	4.416374712269129	TRUE
rep06	3-4.5 ns	3000.0	4500.0	1500.0	0.9985619709680111	1.391277677970129	1.5910543171335967	550	FALSE	FAIL_MEAN_ALPHA_HIGH;FAIL_LOGLOG_ALPHA_HIGH	5.709439797906734	TRUE
