atom_i	atom_j	element_pair	shortest_bond_path	graph_class	distance_A	GEO_A_same_pair_A	delta_same_pair_A	GEO_A_class_min_A	delta_class_min_A
F7	O2	F-O	6	>1-4	4.6463421390	4.6341216342	0.0122205048	2.7983082753	1.8480338637
F7	O3	F-O	6	>1-4	4.7710602470	4.7454916448	0.0255686022	2.7983082753	1.9727519717
F7	C1	C-F	3	1-4	3.1900511003	3.1900511003	0.0000000000	3.0279150868	0.1621360134
F7	C2	C-F	4	>1-4	3.2665717390	3.2665717390	0.0000000000	3.0895997229	0.1769720161
F7	C3	C-F	2	1-3	2.4051321086	2.4051321086	0.0000000000	2.3077381828	0.0973939257
F7	C4	C-F	1	1-2	1.3301758274	1.3301758274	0.0000000000	1.3301758274	0.0000000000
F8	F9	F-F	2	1-3	2.1865990842	2.1865990842	0.0000000000	2.1773116516	0.0092874325
F8	O1	F-O	6	>1-4	4.4253858837	4.4034347795	0.0219511042	2.7983082753	1.6270776084
F8	O2	F-O	6	>1-4	6.4785266553	6.4688477823	0.0096788730	2.7983082753	3.6802183800
F8	O3	F-O	6	>1-4	5.8855122288	5.8622424888	0.0232697400	2.7983082753	3.0872039535
F8	C1	C-F	3	1-4	3.7928553622	3.7928553622	0.0000000000	3.0279150868	0.7649402753
F8	C2	C-F	4	>1-4	4.6378810850	4.6378810850	0.0000000000	3.0895997229	1.5482813621
F8	C3	C-F	2	1-3	2.3497260021	2.3497260021	0.0000000000	2.3077381828	0.0419878192
F8	C4	C-F	1	1-2	1.3572512971	1.3572512971	0.0000000000	1.3301758274	0.0270754697
F9	O1	F-O	6	>1-4	4.5887645196	4.5636947079	0.0250698116	2.7983082753	1.7904562443
F9	O2	F-O	6	>1-4	5.8949690535	5.8871973335	0.0077717199	2.7983082753	3.0966607782
F9	O3	F-O	6	>1-4	5.8135454039	5.8000642205	0.0134811834	2.7983082753	3.0152371286
F9	C1	C-F	3	1-4	3.0279150868	3.0279150868	0.0000000000	3.0279150868	0.0000000000
F9	C2	C-F	4	>1-4	3.7169513154	3.7169513154	0.0000000000	3.0895997229	0.6273515925
F9	C3	C-F	2	1-3	2.3857727939	2.3857727939	0.0000000000	2.3077381828	0.0780346111
F9	C4	C-F	1	1-2	1.3511869342	1.3511869342	0.0000000000	1.3301758274	0.0210111069
O1	O2	O-O	2	1-3	2.5101563650	2.5101563650	0.0000000000	2.5101563650	0.0000000000
O1	O3	O-O	2	1-3	2.5106247571	2.5106247571	0.0000000000	2.5101563650	0.0004683921
O1	C1	C-O	3	1-4	3.3261871964	3.3261871964	-0.0000000000	3.2107606603	0.1154265361
O1	C2	C-O	2	1-3	2.6141151200	2.6141151200	-0.0000000000	2.6046910891	0.0094240309
O1	C3	C-O	4	>1-4	3.3177369496	3.3103352832	0.0074016664	3.3103352832	0.0074016664
O1	C4	C-O	5	>1-4	3.5898417415	3.5666011331	0.0232406084	3.3103352832	0.2795064583
O2	O3	O-O	2	1-3	2.5147582091	2.5147582090	0.0000000001	2.5101563650	0.0046018441
O2	C1	C-O	3	1-4	4.0469856488	4.0469856488	0.0000000000	3.2107606603	0.8362249885
O2	C2	C-O	2	1-3	2.6046910891	2.6046910891	0.0000000000	2.6046910891	0.0000000000
O2	C3	C-O	4	>1-4	4.8920756418	4.8875225432	0.0045530986	3.3103352832	1.5817403586
O2	C4	C-O	5	>1-4	5.3353245490	5.3264522575	0.0088722916	3.3103352832	2.0249892658
O3	C1	C-O	3	1-4	3.2107606603	3.2107606603	-0.0000000000	3.2107606603	-0.0000000000
O3	C2	C-O	2	1-3	2.6223660681	2.6223660681	0.0000000000	2.6046910891	0.0176749790
O3	C3	C-O	4	>1-4	3.9166325905	3.9029658130	0.0136667774	3.3103352832	0.6062973073
O3	C4	C-O	5	>1-4	4.9760066967	4.9562222112	0.0197844855	3.3103352832	1.6656714134
C1	C2	C-C	1	1-2	1.5463338471	1.5463338471	0.0000000000	1.5463338471	0.0000000000
C1	C3	C-C	1	1-2	1.5536251456	1.5536251456	0.0000000000	1.5463338471	0.0072912985
C1	C4	C-C	2	1-3	2.6778196967	2.6778196967	0.0000000000	2.6778196967	0.0000000000
C2	C3	C-C	2	1-3	2.7039185594	2.7039185594	0.0000000000	2.6778196967	0.0260988627
C2	C4	C-C	3	1-4	3.3696226263	3.3696226263	0.0000000000	3.3696226263	0.0000000000
C3	C4	C-C	1	1-2	1.5480468402	1.5480468402	0.0000000000	1.5463338471	0.0017129931
