point_id	atom_id	atom_name	atom_type	x_nm	y_nm	z_nm	source_file	source_sha256
T_CC_060	4	F3	FGA2	4.792976564	5.158808107	5.076154587	/home/ls/projects/PFAS_mito_membrane_pilot/qm/PFBS/phase3_mm_relaxed_profiles_20260926_v1/qm_start_g96/T_CC_060.g96	41baeb9c356cf99a1669a39f741dfb4147717de0ce46134528141edf74e37c1d
T_CC_060	5	F4	FGA2	4.778214804	5.012703397	4.911119335	/home/ls/projects/PFAS_mito_membrane_pilot/qm/PFBS/phase3_mm_relaxed_profiles_20260926_v1/qm_start_g96/T_CC_060.g96	41baeb9c356cf99a1669a39f741dfb4147717de0ce46134528141edf74e37c1d
T_CC_060	6	F5	FGA2	5.016010906	4.905855131	4.830221292	/home/ls/projects/PFAS_mito_membrane_pilot/qm/PFBS/phase3_mm_relaxed_profiles_20260926_v1/qm_start_g96/T_CC_060.g96	41baeb9c356cf99a1669a39f741dfb4147717de0ce46134528141edf74e37c1d
T_CC_060	7	F6	FGA2	5.143333498	5.079157091	4.786904367	/home/ls/projects/PFAS_mito_membrane_pilot/qm/PFBS/phase3_mm_relaxed_profiles_20260926_v1/qm_start_g96/T_CC_060.g96	41baeb9c356cf99a1669a39f741dfb4147717de0ce46134528141edf74e37c1d
T_CC_060	8	F7	FGA3	5.168925797	4.898146633	5.086434388	/home/ls/projects/PFAS_mito_membrane_pilot/qm/PFBS/phase3_mm_relaxed_profiles_20260926_v1/qm_start_g96/T_CC_060.g96	41baeb9c356cf99a1669a39f741dfb4147717de0ce46134528141edf74e37c1d
T_CC_060	9	F8	FGA3	5.262663843	4.853734081	4.894163606	/home/ls/projects/PFAS_mito_membrane_pilot/qm/PFBS/phase3_mm_relaxed_profiles_20260926_v1/qm_start_g96/T_CC_060.g96	41baeb9c356cf99a1669a39f741dfb4147717de0ce46134528141edf74e37c1d
T_CC_060	10	F9	FGA3	5.295296220	5.047192278	4.990064652	/home/ls/projects/PFAS_mito_membrane_pilot/qm/PFBS/phase3_mm_relaxed_profiles_20260926_v1/qm_start_g96/T_CC_060.g96	41baeb9c356cf99a1669a39f741dfb4147717de0ce46134528141edf74e37c1d
T_CC_060	11	O1	OG2P1	4.706445293	4.899253782	5.175544763	/home/ls/projects/PFAS_mito_membrane_pilot/qm/PFBS/phase3_mm_relaxed_profiles_20260926_v1/qm_start_g96/T_CC_060.g96	41baeb9c356cf99a1669a39f741dfb4147717de0ce46134528141edf74e37c1d
T_CC_060	12	O2	OG2P1	4.909384636	4.797924574	5.067768616	/home/ls/projects/PFAS_mito_membrane_pilot/qm/PFBS/phase3_mm_relaxed_profiles_20260926_v1/qm_start_g96/T_CC_060.g96	41baeb9c356cf99a1669a39f741dfb4147717de0ce46134528141edf74e37c1d
T_CC_060	13	O3	OG2P1	4.936362771	4.964324568	5.253804266	/home/ls/projects/PFAS_mito_membrane_pilot/qm/PFBS/phase3_mm_relaxed_profiles_20260926_v1/qm_start_g96/T_CC_060.g96	41baeb9c356cf99a1669a39f741dfb4147717de0ce46134528141edf74e37c1d
T_CC_060	14	C1	CG312	4.987287212	5.103109047	4.964573818	/home/ls/projects/PFAS_mito_membrane_pilot/qm/PFBS/phase3_mm_relaxed_profiles_20260926_v1/qm_start_g96/T_CC_060.g96	41baeb9c356cf99a1669a39f741dfb4147717de0ce46134528141edf74e37c1d
T_CC_060	15	C2	CG312	4.853015982	5.048620564	5.020378965	/home/ls/projects/PFAS_mito_membrane_pilot/qm/PFBS/phase3_mm_relaxed_profiles_20260926_v1/qm_start_g96/T_CC_060.g96	41baeb9c356cf99a1669a39f741dfb4147717de0ce46134528141edf74e37c1d
T_CC_060	16	C3	CG312	5.084073301	5.007329556	4.887878669	/home/ls/projects/PFAS_mito_membrane_pilot/qm/PFBS/phase3_mm_relaxed_profiles_20260926_v1/qm_start_g96/T_CC_060.g96	41baeb9c356cf99a1669a39f741dfb4147717de0ce46134528141edf74e37c1d
T_CC_060	17	C4	CG302	5.203426599	4.949800084	4.969231069	/home/ls/projects/PFAS_mito_membrane_pilot/qm/PFBS/phase3_mm_relaxed_profiles_20260926_v1/qm_start_g96/T_CC_060.g96	41baeb9c356cf99a1669a39f741dfb4147717de0ce46134528141edf74e37c1d
T_CC_090	1	S1	SG3O1	4.863179419	4.987206285	5.190136120	/home/ls/projects/PFAS_mito_membrane_pilot/qm/PFBS/phase3_mm_relaxed_profiles_20260926_v1/qm_start_g96/T_CC_090.g96	dbc39b01855c642528b1b5129ecf4ae28ec9520145b3527abc86ff7044f37fe4
T_CC_090	2	F1	FGA2	4.938398672	5.167091995	4.834807450	/home/ls/projects/PFAS_mito_membrane_pilot/qm/PFBS/phase3_mm_relaxed_profiles_20260926_v1/qm_start_g96/T_CC_090.g96	dbc39b01855c642528b1b5129ecf4ae28ec9520145b3527abc86ff7044f37fe4
T_CC_090	3	F2	FGA2	5.035512233	5.182291458	5.031984685	/home/ls/projects/PFAS_mito_membrane_pilot/qm/PFBS/phase3_mm_relaxed_profiles_20260926_v1/qm_start_g96/T_CC_090.g96	dbc39b01855c642528b1b5129ecf4ae28ec9520145b3527abc86ff7044f37fe4
T_CC_090	4	F3	FGA2	4.749731220	5.106647616	4.982263114	/home/ls/projects/PFAS_mito_membrane_pilot/qm/PFBS/phase3_mm_relaxed_profiles_20260926_v1/qm_start_g96/T_CC_090.g96	dbc39b01855c642528b1b5129ecf4ae28ec9520145b3527abc86ff7044f37fe4
T_CC_090	5	F4	FGA2	4.837136155	4.909537921	4.935463361	/home/ls/projects/PFAS_mito_membrane_pilot/qm/PFBS/phase3_mm_relaxed_profiles_20260926_v1/qm_start_g96/T_CC_090.g96	dbc39b01855c642528b1b5129ecf4ae28ec9520145b3527abc86ff7044f37fe4
T_CC_090	6	F5	FGA2	5.051457623	4.943631497	4.774046976	/home/ls/projects/PFAS_mito_membrane_pilot/qm/PFBS/phase3_mm_relaxed_profiles_20260926_v1/qm_start_g96/T_CC_090.g96	dbc39b01855c642528b1b5129ecf4ae28ec9520145b3527abc86ff7044f37fe4
T_CC_090	7	F6	FGA2	5.189781595	5.102216300	4.841143637	/home/ls/projects/PFAS_mito_membrane_pilot/qm/PFBS/phase3_mm_relaxed_profiles_20260926_v1/qm_start_g96/T_CC_090.g96	dbc39b01855c642528b1b5129ecf4ae28ec9520145b3527abc86ff7044f37fe4
T_CC_090	8	F7	FGA3	5.107819962	4.798141051	4.995551909	/home/ls/projects/PFAS_mito_membrane_pilot/qm/PFBS/phase3_mm_relaxed_profiles_20260926_v1/qm_start_g96/T_CC_090.g96	dbc39b01855c642528b1b5129ecf4ae28ec9520145b3527abc86ff7044f37fe4
T_CC_090	9	F8	FGA3	5.281112349	4.864959572	4.882969302	/home/ls/projects/PFAS_mito_membrane_pilot/qm/PFBS/phase3_mm_relaxed_profiles_20260926_v1/qm_start_g96/T_CC_090.g96	dbc39b01855c642528b1b5129ecf4ae28ec9520145b3527abc86ff7044f37fe4
T_CC_090	10	F9	FGA3	5.235616998	4.960490954	5.073256455	/home/ls/projects/PFAS_mito_membrane_pilot/qm/PFBS/phase3_mm_relaxed_profiles_20260926_v1/qm_start_g96/T_CC_090.g96	dbc39b01855c642528b1b5129ecf4ae28ec9520145b3527abc86ff7044f37fe4
T_CC_090	11	O1	OG2P1	4.844679387	5.120402404	5.251891244	/home/ls/projects/PFAS_mito_membrane_pilot/qm/PFBS/phase3_mm_relaxed_profiles_20260926_v1/qm_start_g96/T_CC_090.g96	dbc39b01855c642528b1b5129ecf4ae28ec9520145b3527abc86ff7044f37fe4
T_CC_090	12	O2	OG2P1	4.750598554	4.892340705	5.204818947	/home/ls/projects/PFAS_mito_membrane_pilot/qm/PFBS/phase3_mm_relaxed_profiles_20260926_v1/qm_start_g96/T_CC_090.g96	dbc39b01855c642528b1b5129ecf4ae28ec9520145b3527abc86ff7044f37fe4
T_CC_090	13	O3	OG2P1	4.999191117	4.929182120	5.202443992	/home/ls/projects/PFAS_mito_membrane_pilot/qm/PFBS/phase3_mm_relaxed_profiles_20260926_v1/qm_start_g96/T_CC_090.g96	dbc39b01855c642528b1b5129ecf4ae28ec9520145b3527abc86ff7044f37fe4
T_CC_090	14	C1	CG312	4.981117723	5.094444957	4.943589236	/home/ls/projects/PFAS_mito_membrane_pilot/qm/PFBS/phase3_mm_relaxed_profiles_20260926_v1/qm_start_g96/T_CC_090.g96	dbc39b01855c642528b1b5129ecf4ae28ec9520145b3527abc86ff7044f37fe4
