observable_id	kind	source_id	J_h_raw__CC_FOURIER_1	J_h_raw__CC_FOURIER_2	J_h_raw__CC_FOURIER_3	J_h_raw__CC_FOURIER_4
ANGLE|B|F3-C2-F4	angle	GEO_B_REVISED	0.00017383907973567148	-0.01179401013857273	-0.016460625283087893	-0.01152509473598684
ANGLE|B|F3-C2-C1	angle	GEO_B_REVISED	-0.013217753426957302	0.023858062778217004	0.04097408180001594	0.03542619168790395
ANGLE|B|F4-C2-C1	angle	GEO_B_REVISED	0.014279810033244189	-0.0076838165355042065	-0.02077583999934518	-0.016121334547847255
ANGLE|B|F5-C3-F6	angle	GEO_B_REVISED	0.0040588039635736095	-0.006520658215904973	-0.016512988582917387	-0.0014736735920450883
ANGLE|B|F5-C3-C1	angle	GEO_B_REVISED	0.00857187635958212	0.02333029771726558	0.03834582758372562	-0.02406405652060073
ANGLE|B|F5-C3-C4	angle	GEO_B_REVISED	-0.000465142308172517	0.012241607010352595	0.02804879096260038	-0.007221144390356926
ANGLE|B|F6-C3-C1	angle	GEO_B_REVISED	-0.008358497904410456	0.012797698908784128	0.025648110830189808	-0.020002798147444878
ANGLE|B|F6-C3-C4	angle	GEO_B_REVISED	-0.004665816985891524	-0.0027350232453926537	-0.005081094268746256	0.032912224385484024
ANGLE|B|F7-C4-F8	angle	GEO_B_REVISED	0.003791640547703423	0.004829804051809106	0.004118818253857626	0.003670582962200797
ANGLE|B|F7-C4-F9	angle	GEO_B_REVISED	0.0006821016503977262	-0.005447594137280021	-0.012093888697819466	0.0008501302176000536
ANGLE|B|F7-C4-C3	angle	GEO_B_REVISED	0.015029720896819754	0.023307443331148647	0.03182859731580834	-0.008268621376927854
ANGLE|B|F8-C4-F9	angle	GEO_B_REVISED	0.002979449303666115	-0.0023457751365185686	-0.007135424013711145	0.00722851763548249
ANGLE|B|F8-C4-C3	angle	GEO_B_REVISED	-0.022512385958677328	-0.016209014269747968	-0.01276792680869221	-0.014122471670319214
ANGLE|B|F9-C4-C3	angle	GEO_B_REVISED	0.0006626008755006296	-0.004881996567434044	-0.006438449761247966	0.012205461714387411
ANGLE|B|O1-S1-O2	angle	GEO_B_REVISED	0.0029124405613600857	-1.2829940914116378e-05	-0.008609650820829984	0.009379535865505773
ANGLE|B|O1-S1-O3	angle	GEO_B_REVISED	0.0058665250724487805	-0.011290171312339226	-0.01710938778956006	-0.0142025935229384
ANGLE|B|O1-S1-C2	angle	GEO_B_REVISED	0.0021014540557473538	0.00814870808078183	0.024677084069679722	-0.03444791364621835
ANGLE|B|O2-S1-O3	angle	GEO_B_REVISED	0.002421401096839304	-0.0027943013022024843	-0.01337239603358853	-0.0028174030937577754
ANGLE|B|O2-S1-C2	angle	GEO_B_REVISED	0.0035176273333803465	0.010937963898030034	0.004671836266680884	0.016576034676774043
ANGLE|B|O3-S1-C2	angle	GEO_B_REVISED	-0.01845707209284342	-0.0026876703892497744	0.01566360503773012	0.026912641382637048
ANGLE|B|C1-C3-C4	angle	GEO_B_REVISED	0.0005106812400867966	-0.03667182069015951	-0.06651793366856396	0.019960421477094314
ANGLE|B|C2-C1-C3	angle	GEO_B_REVISED	0.009290800941101907	0.021100737438786155	0.02943425425883106	0.011403424915812366
PES|T_CC_000	profile_energy	T_CC_000	0.1351656641766219	-0.11959633192041963	0.35847132907981916	0.4776613192460033
PES|T_CC_030	profile_energy	T_CC_030	0.09508524996175716	-0.08747901498805	0.23883229896989988	0.2388948376433664
PES|T_CC_060	profile_energy	T_CC_060	0.01755427469526616	-8.681184870962255e-05	-7.56405356128198e-07	-0.00017306872011069174
PES|T_CC_090	profile_energy	T_CC_090	-0.1139090674211296	0.11943704012667311	-0.11952651893881949	0.23908029844645906
PES|T_CC_120	profile_energy	T_CC_120	-0.2533784589806398	0.2389208809285348	2.4901794937193245e-05	0.47794026873209106
PES|T_CC_150	profile_energy	T_CC_150	-0.37005251899497993	0.3265768656919221	0.23889421204827732	0.23912152710922618
PES|T_CC_180	profile_energy	T_CC_180	-0.4034068706955063	0.3584444075011972	0.35862909671845244	-0.0013571147645774495
