observable_id	kind	source_id	J_h_normalized__CC_FOURIER_1	J_h_normalized__CC_FOURIER_2	J_h_normalized__CC_FOURIER_3	J_h_normalized__CC_FOURIER_4
ANGLE|B|F2-C1-C2	angle	GEO_B_REVISED	0.0009991204056753551	-0.0007783069477066922	-0.0007696841263983098	-0.00010520753674975655
ANGLE|B|F2-C1-C3	angle	GEO_B_REVISED	0.0005657169919878162	-0.0006210043913255686	0.0001189988427288876	-0.00038769181632365127
ANGLE|B|F3-C2-F4	angle	GEO_B_REVISED	1.730907505867263e-05	-0.0009516073945057366	-0.0005369061552596109	-0.00010881922957314129
ANGLE|B|F3-C2-C1	angle	GEO_B_REVISED	-0.000805934462085793	0.0011788189866130127	0.0008184212898823331	0.00020483362219443993
ANGLE|B|F4-C2-C1	angle	GEO_B_REVISED	0.0008706919130718888	-0.00037965483224285075	-0.0004149791532521038	-9.321327505748886e-05
ANGLE|B|F5-C3-F6	angle	GEO_B_REVISED	0.00040413319353023214	-0.0005261235578393929	-0.000538614120631804	-1.3914334641250043e-05
ANGLE|B|F5-C3-C1	angle	GEO_B_REVISED	0.0005226584533523133	0.001152742289602703	0.0007659242207269198	-0.00013913795491287306
ANGLE|B|F5-C3-C4	angle	GEO_B_REVISED	-5.6722833876718323e-05	0.0012097075026254122	0.0011204999194999606	-8.35050617292804e-05
ANGLE|B|F6-C3-C1	angle	GEO_B_REVISED	-0.0005096479934856051	0.0006323300679888145	0.0005122984830054401	-0.00011565582986342688
ANGLE|B|F6-C3-C4	angle	GEO_B_REVISED	-0.0005689836360611948	-0.00027027318692785744	-0.00020298078896496092	0.0003805958142351903
ANGLE|B|F7-C4-F8	angle	GEO_B_REVISED	0.0003775318584031714	0.0003896958876339845	0.00013434598229776092	3.4657416635698323e-05
ANGLE|B|F7-C4-F9	angle	GEO_B_REVISED	6.791653914833763e-05	-0.00043954268331069217	-0.0003944736710309111	8.026876779348534e-06
ANGLE|B|F7-C4-C3	angle	GEO_B_REVISED	0.0014965022106048988	0.0018805762552641454	0.001038172579610005	-7.807181012228367e-05
ANGLE|B|F8-C4-F9	angle	GEO_B_REVISED	0.00029666235986225317	-0.00018927039569502298	-0.00023274043406387986	6.825121511521497e-05
ANGLE|B|F8-C4-C3	angle	GEO_B_REVISED	-0.0022415476364754036	-0.0013078348802070643	-0.0004164591791378818	-0.0001333435014667636
ANGLE|B|F9-C4-C3	angle	GEO_B_REVISED	6.597485620276887e-05	-0.0003939070747724549	-0.00021000680397575557	0.00011524321237871227
ANGLE|B|O1-S1-O2	angle	GEO_B_REVISED	0.0002899903310415419	-1.0351921442745455e-06	-0.00028082618010197595	8.856099581124957e-05
ANGLE|B|O1-S1-O3	angle	GEO_B_REVISED	0.0005841271304875882	-0.0009109548304457131	-0.0005580672337141722	-0.00013410000702907958
ANGLE|B|O1-S1-C2	angle	GEO_B_REVISED	0.00020924078773651628	0.0006574838222310572	0.0008049073533362436	-0.000325255063776498
ANGLE|B|O2-S1-O3	angle	GEO_B_REVISED	0.00024109776349525529	-0.00022546002168984783	-0.0004361755168790298	-2.6601745242266262e-05
ANGLE|B|O2-S1-C2	angle	GEO_B_REVISED	0.0003502484920795689	0.00088253674567909	0.0001523841047838677	0.00015650989117442382
ANGLE|B|O3-S1-C2	angle	GEO_B_REVISED	-0.0018377619503286116	-0.00021685643698401207	0.0005109092646045047	0.00025410749049136036
ANGLE|B|C1-C3-C4	angle	GEO_B_REVISED	8.807182151873061e-05	-0.005124947385154588	-0.00375795375483958	0.00032643106180149916
ANGLE|B|C2-C1-C3	angle	GEO_B_REVISED	0.0016022867065015125	0.002948862836002001	0.0016628984126900506	0.00018649065640793198
PES|T_CC_000	profile_energy	T_CC_000	0.06695460177718458	-0.04800669108490417	0.05816933273651961	0.022437208220353028
PES|T_CC_030	profile_energy	T_CC_030	0.04710068259461585	-0.035114605786885265	0.038755443852846065	0.011221618747426955
PES|T_CC_060	profile_energy	T_CC_060	0.008695547636809816	-3.484680120695849e-05	-1.2274229840710518e-07	-8.129565349112329e-06
PES|T_CC_090	profile_energy	T_CC_090	-0.0564251009637055	0.04794275039531983	-0.01939563163625273	0.011230330406688527
PES|T_CC_120	profile_energy	T_CC_120	-0.12551156333458582	0.09590428686476306	4.0408274747006e-06	0.022450311328036505
PES|T_CC_150	profile_energy	T_CC_150	-0.1833063093122304	0.13108992938997938	0.03876549052091886	0.011232267042656063
PES|T_CC_180	profile_energy	T_CC_180	-0.19982845899609336	0.1438817534426695	0.058194933774935356	-6.374781738618747e-05
PES|T_CC_210	profile_energy	T_CC_210	-0.1872595537373731	0.1310272164282376	0.038805909884662884	0.011221274923856793
PES|T_CC_240	profile_energy	T_CC_240	-0.13918363258707803	0.09592560563213416	7.187596683702996e-06	0.022453850834514295
PES|T_CC_270	profile_energy	T_CC_270	-0.058584499763123105	0.047947643131157035	-0.019330285084578833	0.011203905620693906
PES|T_CC_330	profile_energy	T_CC_330	0.03794238460061909	-0.03514864673427022	0.03882076025454337	0.011202306552709642
PES|T_CS_000	profile_energy	T_CS_000	-0.023615153891664135	0.01984641889238615	-0.012596872489165791	0.002592912769087309
PES|T_CS_010	profile_energy	T_CS_010	-0.030261415420683203	0.02504516043968885	-0.014757094497814514	0.003927767891059657
PES|T_CS_020	profile_energy	T_CS_020	-0.034776755718152016	0.0286165544776814	-0.015946462709359985	0.0049384641174885086
PES|T_CS_030	profile_energy	T_CS_030	-0.021753117976646155	0.0192919195397508	-0.012333094183157886	0.002444693802875461
PES|T_CS_040	profile_energy	T_CS_040	-0.010882786412775139	0.010520742138777269	-0.007550205269889672	0.0007765714443133525
PES|T_CS_050	profile_energy	T_CS_050	-0.007275265794161258	0.007278637285681336	-0.005448433947083488	0.0003901334640312441
PES|T_CS_060	profile_energy	T_CS_060	-0.004937701939359838	0.005024606762977034	-0.003840667028826829	0.00017470451314220356
PES|T_CS_070	profile_energy	T_CS_070	-0.003551147393107648	0.0036492931815118464	-0.002850917213054021	9.715875234529531e-05
PES|T_CS_080	profile_energy	T_CS_080	-0.0038932246963323176	0.0038365962259410747	-0.002999903015966709	0.00010885348869926627
PES|T_CS_090	profile_energy	T_CS_090	-0.0061194093115195455	0.005700187479929921	-0.004348268134960605	0.00023485579473836126
PES|T_CS_100	profile_energy	T_CS_100	-0.010184471690011753	0.009120436317231667	-0.006628806817624191	0.000584316470289656
PES|T_CS_110	profile_energy	T_CS_110	-0.015855212227758455	0.013757512094737443	-0.009471429851083398	0.0012922830553374009
PES|T_CS_120	profile_energy	T_CS_120	-0.022730239326706283	0.01927257640244872	-0.012343301295850978	0.0024392876873376343
PES|T_CC_300_ANCHOR_ZERO	profile_anchor	T_CC_300	0.0	0.0	0.0	0.0
AB_ENERGY|GEO_B_REVISED-GEO_A	AB_energy	GEO_B_REVISED-GEO_A	-0.9533725270336985	0.6782826246138501	0.28608087385439657	0.008234958385501165
