observable_id	source_id	kind	variable_id	J_h_normalized	J_2h_normalized	J_tight_normalized	E_normalized	R_step	R_step_limit	R_conv	R_conv_limit	signal	uncertainty	finite_difference_status
BOND|A|C3-C4	GEO_A	bond	CC_FOURIER_1	0.0008017840744030389	-0.0023269078085508201	-0.00089550974331258819	0.0048401415760197181		0.10		0.05	0.0008017840744030389	0.0048401415760197181	UNIDENTIFIABLE
BOND|A|C3-C4	GEO_A	bond	CC_FOURIER_2	-0.00051146004648346306	0.00097266067733217578	0.00049173775209505259	0.0024987896627641777		0.10		0.05	0.00051146004648346306	0.0024987896627641777	UNIDENTIFIABLE
BOND|A|C3-C4	GEO_A	bond	CC_FOURIER_3	-0.00057185890291742416	-0.0010572443961734807	-0.00027242472425376222	0.00079409421094226167		0.10		0.05	0.00057185890291742416	0.00079409421094226167	UNIDENTIFIABLE
BOND|A|C3-C4	GEO_A	bond	CC_FOURIER_4	0.00032331879417827562	2.2727189323330052e-05	-5.1307276749558934e-05	0.00068192951323331561		0.10		0.05	0.00032331879417827562	0.00068192951323331561	UNIDENTIFIABLE
ANGLE|A|S1-C2-F3	GEO_A	angle	CC_FOURIER_1	0.0022291381766613161	0.0032212374275861714	0.0022187251066611222	0.0010080404154506793	0.30798699978730942	0.10	0.0046713434408045817	0.05	0.0022291381766613161	0.0010080404154506793	REVIEW
ANGLE|A|S1-C2-F3	GEO_A	angle	CC_FOURIER_2	-0.0019350821974367645	-0.002220263952341991	-0.0017331762415918604	0.00049156736603770757	0.12844497817676565	0.10	0.10433973094907878	0.05	0.0019350821974367645	0.00049156736603770757	REVIEW
ANGLE|A|S1-C2-F3	GEO_A	angle	CC_FOURIER_3	0.0014731607349390344	0.0015305431273406587	0.0012914718588335242	0.00024269311725072873	0.037491522699740647	0.10	0.12333268990707194	0.05	0.0014731607349390344	0.00024269311725072873	REVIEW
ANGLE|A|S1-C2-F3	GEO_A	angle	CC_FOURIER_4	4.7074306341018935e-05	0.00012291039003538274	-9.4337954047290593e-05	0.0002198694186934155		0.10		0.05	4.7074306341018935e-05	0.0002198694186934155	UNIDENTIFIABLE
ANGLE|A|S1-C2-F4	GEO_A	angle	CC_FOURIER_1	-0.0031018275597912079	-0.0020979620339673407	-0.0026498373729576859	0.0014613719489223662	0.32363679362351139	0.10	0.14571738051871155	0.05	0.0031018275597912079	0.0014613719489223662	REVIEW
ANGLE|A|S1-C2-F4	GEO_A	angle	CC_FOURIER_2	0.0018830019897665602	0.0016076712084577781	0.0019599486076916275	0.00035674745343568188	0.14621906020551545	0.10	0.039259507939696875	0.05	0.0018830019897665602	0.00035674745343568188	REVIEW
ANGLE|A|S1-C2-F4	GEO_A	angle	CC_FOURIER_3	-0.00085749539239572496	-0.0011078557879682699	-0.0012917595649075732	0.00068823865303128311	0.22598644904106913	0.10	0.33618034215440107	0.05	0.00085749539239572496	0.00068823865303128311	REVIEW
ANGLE|A|S1-C2-F4	GEO_A	angle	CC_FOURIER_4	-0.00011354963046614691	1.4856791847260606e-05	7.8511224461854723e-05	0.0003230827327021279		0.10		0.05	0.00011354963046614691	0.0003230827327021279	UNIDENTIFIABLE
ANGLE|A|S1-C2-C1	GEO_A	angle	CC_FOURIER_1	0.00069915839686986061	-0.00057847918230638908	0.00057077054841155918	0.0014134402065512199		0.10		0.05	0.00069915839686986061	0.0014134402065512199	UNIDENTIFIABLE
ANGLE|A|S1-C2-C1	GEO_A	angle	CC_FOURIER_2	0.0042468551343780156	0.0043098073483082413	0.0022115601287222802	0.0021042557722549008	0.014606735021447497	0.10	0.47924757055642303	0.05	0.0042468551343780156	0.0021042557722549008	REVIEW
ANGLE|A|S1-C2-C1	GEO_A	angle	CC_FOURIER_3	-0.0050630359587134693	-0.0024024891358607782	-0.0020736712691237034	0.0056547694778847756		0.10		0.05	0.0050630359587134693	0.0056547694778847756	UNIDENTIFIABLE
ANGLE|A|S1-C2-C1	GEO_A	angle	CC_FOURIER_4	-0.00073852414836825394	-0.00062694139254166183	-2.5602196658125063e-06	0.00085106231325914896		0.10		0.05	0.00073852414836825394	0.00085106231325914896	UNIDENTIFIABLE
