observable_id	variable_id	J_h_raw	J_2h_raw	J_h_tight_raw	rounding_bound_h_raw	rounding_bound_2h_raw	rounding_bound_tight_raw	step_disagreement_raw	convergence_disagreement_raw
ANGLE|B|O3-S1-C2	CC_FOURIER_4	0.026912641382637048	-0.03752564876347009	0.012769300325388144	6.206836159335154e-05	3.103426712302535e-05	6.206921334391131e-05	0.06443829014610714	0.014143341057248904
ANGLE|B|C1-C3-C4	CC_FOURIER_4	0.019960421477094314	0.0635902635430341	0.05239982766589435	6.576404941664453e-05	3.288226191805172e-05	6.57643511930088e-05	0.04362984206593978	0.032439406188800035
ANGLE|B|C2-C1-C3	CC_FOURIER_4	0.011403424915812366	-0.03705163109888332	0.023393735878585176	6.5881822610013e-05	3.2941030254074936e-05	6.588220296295974e-05	0.048455056014695685	0.01199031096277281
PES|T_CC_000	CC_FOURIER_4	0.4776613192460033	0.4781855546337255	0.4780116676326607	1.6089680003157086e-11	8.044839194255543e-12	1.6089680058905227e-11	0.0005242353877221717	0.0003503483866573731
PES|T_CC_030	CC_FOURIER_4	0.2388948376433664	0.23891616822417916	0.23875406384439302	1.4577611574902087e-11	7.288805524647564e-12	1.4577612621242904e-11	2.1330580812772837e-05	0.0001407737989733704
PES|T_CC_060	CC_FOURIER_4	-0.00017306872011069174	7.39339746647083e-05	-3.201708875799625e-06	1.2975558908031444e-11	6.487778990967225e-12	1.2975559760307224e-11	0.00024700269477540004	0.00016986701123489212
PES|T_CC_090	CC_FOURIER_4	0.23908029844645906	0.23924014243248415	0.23916272291466534	1.3191543139119989e-11	6.59577109419679e-12	1.3191543971041413e-11	0.00015984398602508776	8.242446820627691e-05
PES|T_CC_120	CC_FOURIER_4	0.47794026873209106	0.4781678046546278	0.47801174811183955	1.2712792943880816e-11	6.356396448259509e-12	1.2712793976156014e-11	0.00022753592253677013	7.147937974849583e-05
PES|T_CC_150	CC_FOURIER_4	0.23912152710922618	0.23891748364005816	0.23886794962953983	1.230102973451121e-11	6.150513992861114e-12	1.23010299991473e-11	0.00020404346916802485	0.000253577479686351
PES|T_CC_180	CC_FOURIER_4	-0.0013571147645774495	-4.2210417661170396e-05	1.551333651539366e-05	1.242147200251988e-11	6.210738021388598e-12	1.2421475611203767e-11	0.0013149043469162791	0.0013726281010928432
