matrix	singular_index	variable_id	coefficient	supported	singular_value
COMBINED_4_V2_GEOMETRY_PLUS_4_CC	6	CC_FOURIER_3	-0.9266381155876287	False	0.12282170022624406
COMBINED_4_V2_GEOMETRY_PLUS_4_CC	6	CC_FOURIER_4	0.07610871086026283	False	0.12282170022624406
COMBINED_4_V2_GEOMETRY_PLUS_4_CC	7	R_OG2P1-SG3O1	0.00034618435527909177	False	0.034575452420108975
COMBINED_4_V2_GEOMETRY_PLUS_4_CC	7	R_CG312-SG3O1	-0.005857399385867545	False	0.034575452420108975
COMBINED_4_V2_GEOMETRY_PLUS_4_CC	7	R_CG312-CG312	-0.017201503535839574	False	0.034575452420108975
COMBINED_4_V2_GEOMETRY_PLUS_4_CC	7	TH_CG312-CG312-SG3O1	-0.0760728566701595	False	0.034575452420108975
COMBINED_4_V2_GEOMETRY_PLUS_4_CC	7	CC_FOURIER_1	-0.022660374176141845	False	0.034575452420108975
COMBINED_4_V2_GEOMETRY_PLUS_4_CC	7	CC_FOURIER_2	0.03137171081284415	False	0.034575452420108975
COMBINED_4_V2_GEOMETRY_PLUS_4_CC	7	CC_FOURIER_3	-0.049961318145938655	False	0.034575452420108975
COMBINED_4_V2_GEOMETRY_PLUS_4_CC	7	CC_FOURIER_4	-0.994931550246029	False	0.034575452420108975
COMBINED_4_V2_GEOMETRY_PLUS_4_CC	8	R_OG2P1-SG3O1	0.000493722128116309	False	0.015347518295074948
COMBINED_4_V2_GEOMETRY_PLUS_4_CC	8	R_CG312-SG3O1	-0.000964771580944296	False	0.015347518295074948
COMBINED_4_V2_GEOMETRY_PLUS_4_CC	8	R_CG312-CG312	-0.002638912710701585	False	0.015347518295074948
COMBINED_4_V2_GEOMETRY_PLUS_4_CC	8	TH_CG312-CG312-SG3O1	-0.007248700627105002	False	0.015347518295074948
COMBINED_4_V2_GEOMETRY_PLUS_4_CC	8	CC_FOURIER_1	-0.5926915465579352	False	0.015347518295074948
COMBINED_4_V2_GEOMETRY_PLUS_4_CC	8	CC_FOURIER_2	-0.8023533591063108	False	0.015347518295074948
COMBINED_4_V2_GEOMETRY_PLUS_4_CC	8	CC_FOURIER_3	-0.06946760786749069	False	0.015347518295074948
COMBINED_4_V2_GEOMETRY_PLUS_4_CC	8	CC_FOURIER_4	-0.007706306503839839	False	0.015347518295074948
CC_ONLY	1	CC_FOURIER_1	0.7949688421420491	True	1.3020926779286082
CC_ONLY	1	CC_FOURIER_2	-0.5671586620751842	True	1.3020926779286082
CC_ONLY	1	CC_FOURIER_3	-0.21491765647903294	True	1.3020926779286082
CC_ONLY	1	CC_FOURIER_4	-0.01288382668222609	True	1.3020926779286082
CC_ONLY	2	CC_FOURIER_1	0.13609666184238126	False	0.1391506583411711
