observable_id	new_primary_base	v2_primary_base	v2_tight_base	absolute_difference	compatibility_envelope	status
ANGLE|A|F1-C1-F2	101.79547342778399	101.79547342778399	101.7976810147016	0.0	0.0022075869176663636	PASS
ANGLE|A|F1-C1-C2	110.42253586764436	110.42253586764436	110.41988088827942	0.0	0.002654979364948752	PASS
ANGLE|A|F1-C1-C3	107.7118308874149	107.7118308874149	107.70972702941869	0.0	0.0021038579962330394	PASS
ANGLE|A|F2-C1-C2	105.75441638588318	105.75441638588318	105.75356432764401	0.0	0.0008520582391761243	PASS
ANGLE|A|F2-C1-C3	107.44792085744346	107.44792085744346	107.4488989270328	0.0	0.000978069589396883	PASS
ANGLE|A|F3-C2-F4	102.86230869197894	102.86230869197894	102.86322023527941	0.0	0.0009115433004901595	PASS
ANGLE|A|F3-C2-C1	113.41880085714132	113.41880085714132	113.41486557715079	0.0	0.003935279990543784	PASS
ANGLE|A|F4-C2-C1	110.29971514230452	110.29971514230452	110.2986866103559	0.0	0.0010285319486800705	PASS
ANGLE|A|F5-C3-F6	101.89764096825904	101.89764096825904	101.89813000522045	0.0	0.0004890369614266708	PASS
ANGLE|A|F5-C3-C1	113.44702968286389	113.44702968286389	113.4451430325035	0.0	0.0018866503604052628	PASS
ANGLE|A|F5-C3-C4	110.00561278446902	110.00561278446902	110.00384310572905	0.0	0.0017696787399906885	PASS
ANGLE|A|F6-C3-C1	107.91097049319173	107.91097049319173	107.90912554456075	0.0	0.0018449486309898408	PASS
ANGLE|A|F6-C3-C4	106.49606837959308	106.49606837959308	106.49763532456757	0.0	0.0015669449744998407	PASS
ANGLE|A|F7-C4-F8	103.25502141949906	103.25502141949906	103.25460563126983	0.0	0.0004157882292482715	PASS
ANGLE|A|F7-C4-F9	103.76727163378484	103.76727163378484	103.76628215670131	0.0	0.0009894770835509167	PASS
ANGLE|A|F7-C4-C3	116.4797530492304	116.4797530492304	116.48519579006803	0.0	0.0054427408377419615	PASS
ANGLE|A|F8-C4-F9	103.40024587224949	103.40024587224949	103.40223399137908	0.0	0.001988119129607292	PASS
ANGLE|A|F8-C4-C3	113.45711770459134	113.45711770459134	113.45349348432593	0.0	0.003624220265422985	PASS
ANGLE|A|F9-C4-C3	114.89923994275716	114.89923994275716	114.89686852894526	0.0	0.002371413811915425	PASS
ANGLE|A|O1-S1-O2	112.25690718089993	112.25690718089993	112.25650021010937	0.0	0.0004069707905792872	PASS
ANGLE|A|O1-S1-O3	112.8180614949382	112.8180614949382	112.8174464594895	0.0	0.0006150354487633382	PASS
ANGLE|A|O1-S1-C2	105.87064901692571	105.87064901692571	105.87495509366353	0.0	0.004306076737834353	PASS
ANGLE|A|O2-S1-O3	112.67801622471073	112.67801622471073	112.67883430769332	0.0	0.0008180829826053402	PASS
ANGLE|A|O2-S1-C2	105.80698514864075	105.80698514864075	105.80558654917587	0.0	0.0013985994648927477	PASS
ANGLE|A|O3-S1-C2	106.7463871911307	106.7463871911307	106.74373358068905	0.0	0.002653610441655808	PASS
ANGLE|A|C1-C3-C4	115.86654144145922	115.86654144145922	115.86985899736635	0.0	0.003317555907146009	PASS
ANGLE|A|C2-C1-C3	121.82926588292528	121.82926588292528	121.83192389929764	0.0	0.002658016372365858	PASS
BOND|B|S1-O1	1.4533189311098544	1.4533189311098544	1.4533069714428926	0.0	1.1959666962030443e-05	PASS
BOND|B|S1-O2	1.4539166783268553	1.4539166783268553	1.4539244206465127	0.0	7.742319657538918e-06	PASS
BOND|B|S1-O3	1.4529981473824385	1.4529981473824385	1.453001305595959	0.0	3.158213521082178e-06	PASS
BOND|B|S1-C2	1.7772454908314292	1.7772454908314292	1.7772359284706318	0.0	9.562360797560462e-06	PASS
BOND|B|F1-C1	1.366737812179786	1.366737812179786	1.3667337971069742	0.0	4.015072812830484e-06	PASS
BOND|B|F2-C1	1.3654560161570388	1.3654560161570388	1.3654497177290543	0.0	6.2984279846468685e-06	PASS
BOND|B|F3-C2	1.3528327422223558	1.3528327422223558	1.3528266368031459	0.0	6.105419210128536e-06	PASS
BOND|B|F4-C2	1.3525821695752758	1.3525821695752758	1.3525904243583478	0.0	8.254783072131463e-06	PASS
BOND|B|F5-C3	1.3642732481266333	1.3642732481266333	1.3642743388979666	0.0	1.0907713334064129e-06	PASS
BOND|B|F6-C3	1.3675783793116378	1.3675783793116378	1.3675779967687882	0.0	3.8254284976958263e-07	PASS
BOND|B|F7-C4	1.3488617374898302	1.3488617374898302	1.3488713502991148	0.0	9.612809284725973e-06	PASS
BOND|B|F8-C4	1.3539222479719062	1.3539222479719062	1.3539208462765517	0.0	1.40169535460267e-06	PASS
BOND|B|F9-C4	1.3500415398297896	1.3500415398297896	1.3500380137059125	0.0	3.5261238772567125e-06	PASS
BOND|B|C1-C2	1.4896550889269626	1.4896550889269626	1.4896373198858774	0.0	1.7769041085341616e-05	PASS
BOND|B|C1-C3	1.5233495598957483	1.5233495598957483	1.5233660414670134	0.0	1.648157126525341e-05	PASS
BOND|B|C3-C4	1.4949154672419362	1.4949154672419362	1.4949237759614953	0.0	8.308719559185892e-06	PASS
ANGLE|B|S1-C2-F3	108.03318902471443	108.03318902471443	108.0357543356311	0.0	0.0025653109167254533	PASS
ANGLE|B|S1-C2-F4	107.27441032183184	107.27441032183184	107.26940173470486	0.0	0.0050085871269950465	PASS
