observable_id	kind	source_id	J_raw__R_OG2P1-SG3O1	J_normalized__R_OG2P1-SG3O1	E_raw__R_OG2P1-SG3O1	E_normalized__R_OG2P1-SG3O1	J_raw__R_CG312-SG3O1	J_normalized__R_CG312-SG3O1	E_raw__R_CG312-SG3O1	E_normalized__R_CG312-SG3O1	J_raw__R_CG312-CG312	J_normalized__R_CG312-CG312	E_raw__R_CG312-CG312	E_normalized__R_CG312-CG312	J_raw__TH_CG312-CG312-SG3O1	J_normalized__TH_CG312-CG312-SG3O1	E_raw__TH_CG312-CG312-SG3O1	E_normalized__TH_CG312-CG312-SG3O1	J_raw__CC_FOURIER_1	J_normalized__CC_FOURIER_1	E_raw__CC_FOURIER_1	E_normalized__CC_FOURIER_1	J_raw__CC_FOURIER_2	J_normalized__CC_FOURIER_2	E_raw__CC_FOURIER_2	E_normalized__CC_FOURIER_2	J_raw__CC_FOURIER_3	J_normalized__CC_FOURIER_3	E_raw__CC_FOURIER_3	E_normalized__CC_FOURIER_3	J_raw__CC_FOURIER_4	J_normalized__CC_FOURIER_4	E_raw__CC_FOURIER_4	E_normalized__CC_FOURIER_4
BOND|B|S1-C2	bond	GEO_B_REVISED	-0.4456552939494651	-0.04288320065458426	0.011528794265926649	0.0011093587454774276	7.179290492435486	0.690827549733025	0.011106646149018472	0.0010687375239882893	-1.2308944373087272	-0.11844287245403445	0.05114023626147293	0.0049209715286637435	-0.0008614150885549732	-0.041444852771768265	2.3752081663176244e-05	0.0011427725618373985	-0.0001026440499540815	-0.002396853947317626	0.00025751836785672054	0.006013343362623521	0.00020979744883353746	0.003969884383869502	0.0006289236266949921	0.011900783818606186	0.0005025034425898411	0.0038439031828202182	0.0010491887368549197	0.008025775712481224	0.00014506263119051788	0.0003212166423726045	0.0007913212494499058	0.0017522469618833716
BOND|B|F1-C1	bond	GEO_B_REVISED	-0.016186327703837655	-0.0006358590045495159	0.018336076469189513	0.0007203091117621663	-0.09302767734409301	-0.0036544723048912405	0.013120474139500434	0.0005154209020235272	-0.3222049229016921	-0.012657404773081958	0.007849177101521804	0.00030834479751223545	-9.371362852395038e-05	-0.0018407095060800661	3.2912043893171457e-06	6.464535949880788e-05	2.2635556733430207e-05	0.00021578604100239764	4.2772384115826945e-05	0.00040775155395037914	4.5591333232009035e-05	0.00035219592224827197	8.560344914771642e-05	0.0006612920391423367	-2.0758267662568386e-05	-6.482594873492996e-05	0.00010261660893497388	0.0003204611838668191	5.4636066992852506e-05	4.939082623143399e-05	0.00019619774918687224	0.00017736212488272577
BOND|B|F2-C1	bond	GEO_B_REVISED	-0.02468807797750827	-0.0009698392973532425	0.012838952643076192	0.0005043616931806735	-0.05895652418630437	-0.0023160310026291405	0.002262734191446039	8.888859393300855e-05	-0.2854514314669654	-0.011213591271649904	0.004862417646786085	0.0001910138050557542	-4.23598263218361e-05	-0.0008320255678348533	8.042204371158074e-06	0.00015796381240372134	2.384697727841889e-05	0.00022733458148985138	6.410109768192314e-05	0.0006110793852161653	1.3648418444311972e-05	0.00010543489256528062	1.914547197486805e-05	0.0001478999774968845	-9.811290888617208e-06	-3.063965888231976e-05	1.4547792398221923e-05	4.5431269099304654e-05	5.4129808002567614e-05	4.89331697566271e-05	8.866215394847995e-05	8.015029777943014e-05
BOND|B|F3-C2	bond	GEO_B_REVISED	-0.056906718009841484	-0.0022355070111016416	0.00047813182979997983	1.8782792175149887e-05	-0.380857369055132	-0.014961490462430635	0.00391035203956473	0.00015361313577793708	-0.20941518476691456	-0.008226605401784394	0.0009914270074400083	3.8946931111795314e-05	0.0001485672899007584	0.0029181371708703876	7.4855000176168044e-06	0.00014702910619524622	-1.319210363615042e-05	-0.00012576106917370472	1.2477906150601712e-05	0.00011895258419958371	2.6396681644946796e-05	0.00020391602914803365	2.5295172578812478e-05	0.00019540680219830197	2.5138049801753937e-05	7.850356080932186e-05	3.4883912591970645e-05	0.00010893889442608091	5.57371312992494e-06	5.038618477058356e-06	0.00021089794003138776	0.00019065104942528782
BOND|B|F4-C2	bond	GEO_B_REVISED	-0.05084072051531052	-0.0019972121242658944	0.014781125319050833	0.0005806574414816121	-0.365824281178484	-0.014370934996888907	0.000526046505909664	2.0665058419345153e-05	-0.21267672082947442	-0.008354730638835536	0.020793520177696413	0.0008168466179104689	0.0001429838847359921	0.0028084687360337697	9.935077547872455e-06	0.00019514335293652305	1.1697418311751306e-05	0.00011151214954275413	2.566280875691813e-05	0.0002446450055491011	1.5812944555992914e-05	0.00012215599318005075	2.6095542163803398e-05	0.00020158970767928132	-8.568269275865958e-05	-0.000267578294033635	0.00018377517952969347	0.0005739111066780817	0.00011259006653108194	0.00010178105265427946	0.0002037903970380343	0.00018422585375805413
BOND|B|F5-C3	bond	GEO_B_REVISED	-0.006971697085189632	-0.0002738741269620043	0.0032146423566533347	0.00012628307830439317	0.007546867231478238	0.0002964689442273783	0.014029960684070579	0.0005511489077492756	-0.20702018196427918	-0.008132520806078602	0.0029108516445116653	0.00011434905204790068	-8.699950578172633e-06	-0.00017088316805038037	3.3888717733251953e-06	6.656372809694239e-05	-5.184269780134088e-07	-4.942193666883923e-06	2.9110751754275354e-05	0.0002775144409141621	-1.0945013731999964e-05	-8.455092080209962e-05	3.231090112088637e-05	0.00024960374729628935	-5.7501056693887165e-06	-1.7956992433255027e-05	1.6831190801326916e-05	5.256208898404982e-05	-4.787596541433459e-06	-4.327971646917566e-06	3.054587403908791e-05	2.7613370430730826e-05
BOND|B|F6-C3	bond	GEO_B_REVISED	-0.021820959768770187	-0.0008572082569164578	0.018291215528969996	0.0007185468075932983	-0.022885498809244176	-0.0008990272999362898	0.010345321693788437	0.0004064026179574503	-0.27894112598569887	-0.010957842318683266	0.006495986802062929	0.0002551864621242785	-2.5587032227991635e-05	-0.0005025767777458784	2.8582291128171295e-06	5.614092188493894e-05	-3.779883230747849e-05	-0.00036033840360984447	6.606044281026419e-05	0.0006297579330063164	3.761940722268875e-05	0.00029061229145906943	0.00011739907264812381	0.000906915234349154	0.00010208900588892789	0.0003188135334669235	0.0002086449320545168	0.0006515768025073991	2.2459466397783956e-05	2.030328431672792e-05	9.64922014115424e-05	8.722863512905288e-05
BOND|B|F7-C4	bond	GEO_B_REVISED	-0.012635653183212803	-0.0007019807324007112	0.021401525107229025	0.0011889736170682791	0.0036193219827840295	0.00020107344348800163	0.013672528327641388	0.0007595849070911882	-0.10191827626182537	-0.005662126458990298	0.03225918896561709	0.0017921771647565047	6.3488289623325755e-06	0.00017635636006479375	7.155328880310121e-06	0.00019875913556417	-2.3301573093270633e-05	-0.0003141466303161206	3.7109052567102574e-05	0.0005002960002535509	4.6861520563989956e-06	5.11956905325972e-05	6.527848938026542e-05	0.000713160243313913	-8.436375593667833e-06	-3.7258784121901003e-05	5.329871805271854e-05	0.0002353908272399396	0.0001253971629644468	0.00016031330634099164	0.0002922982527389935	0.0003736870773349843
BOND|B|F8-C4	bond	GEO_B_REVISED	-0.013044131443873397	-0.0007246739691040776	0.00664645018875064	0.00036924723270836886	-0.0015061769490509747	-8.36764971694986e-05	0.004888604896978476	0.00027158916094324867	-0.05037679400010653	-0.0027987107777836958	0.015622475664033013	0.0008679153146685007	-9.843615150328944e-06	-0.00027343375417580396	3.292109011542035e-06	9.14474725428343e-05	-3.905207334398142e-05	-0.0005264913745850366	7.120398570402478e-05	0.0009599563121537279	-3.971512774869623e-05	-0.0004338833578625343	7.730652809710775e-05	0.0008445652298466691	-6.478347733374079e-05	-0.00028611262856239206	0.0001321588653997193	0.0005836722868786715	5.684433479480333e-06	7.267232401655634e-06	0.00010614447712602525	0.00013569981709022738
BOND|B|F9-C4	bond	GEO_B_REVISED	-0.0043693432520974795	-0.0002427412917831933	0.0012981061173664918	7.211700652036065e-05	-0.0016840739163193064	-9.355966201773924e-05	0.0020779389576138607	0.00011544105320077004	-0.0452033866984447	-0.0025112992610247056	0.007937478286470293	0.0004409710159150163	9.445613528002994e-07	2.623781535556387e-05	4.20112975018285e-06	0.00011669804861619026	2.9607268570153167e-06	3.991586154697894e-05	1.746273649007924e-05	0.0002354287327511394	2.9487656777460458e-05	0.0003221493738874469	6.466664229089757e-05	0.0007064758818455792	7.592153260516099e-05	0.000335303230887771	8.83480354483662e-05	0.0003901841903335177	1.3637934537236163e-05	1.7435341642826586e-05	0.00014375431656675868	0.00018378190737968058
