geometry	class	unit	term	qm	baseline	candidate	baseline_minus_qm	candidate_minus_qm	candidate_minus_baseline	abs_error_change
GEO_A	angles	degree	F8-C4-F9	107.67123653178818	103.40429369571426	103.41576947726676	-4.266942836073923	-4.255467054521418	0.011475781552505282	-0.011475781552505282
GEO_A	angles	degree	F8-C4-C3	107.77202503419944	113.49696666372898	113.49396955478639	5.724941629529539	5.721944520586945	-0.0029971089425941955	-0.0029971089425941955
GEO_A	angles	degree	F9-C4-C3	110.56871903744958	114.8841805174688	114.96257078042184	4.3154614800192235	4.3938517429722594	0.07839026295303597	0.07839026295303597
GEO_A	angles	degree	O1-S1-O2	115.87508867620741	112.2620861460513	112.23629832853402	-3.613002530156109	-3.6387903476733925	-0.02578781751728343	0.02578781751728343
GEO_A	angles	degree	O1-S1-O3	115.79825616835085	112.8172528305885	112.76009623280194	-2.9810033377623455	-3.0381599355489044	-0.057156597786558905	0.057156597786558905
GEO_A	angles	degree	O1-S1-C2	101.68837783605547	105.90695232156716	105.9447964948535	4.218574485511695	4.25641865879804	0.03784417328634504	0.03784417328634504
GEO_A	angles	degree	O2-S1-O3	116.27786596346955	112.6848872473556	112.60875559622816	-3.5929787161139473	-3.6691103672413874	-0.07613165112744014	0.07613165112744014
GEO_A	angles	degree	O2-S1-C2	101.28230695055689	105.76211526158185	105.84456933790948	4.479808311024968	4.56226238735259	0.0824540763276218	0.0824540763276218
GEO_A	angles	degree	O3-S1-C2	102.18621881661765	106.74193852267949	106.80507259979117	4.555719706061836	4.61885378317352	0.06313407711168395	0.06313407711168395
GEO_A	angles	degree	C1-C3-C4	119.38890145578634	115.83648937882073	115.59269919701875	-3.5524120769656093	-3.796202258767593	-0.24379018180198386	0.24379018180198386
GEO_A	angles	degree	C2-C1-C3	121.44059188743243	121.83164235400733	121.32589944018856	0.39105046657489595	-0.1146924472438684	-0.5057429138187644	-0.27635801933102755
GEO_B_REVISED_10nm	bonds	angstrom	S1-O1(1-11)	1.480465887667455	1.453425253475034	1.4818145248445311	-0.027040634192420976	0.0013486371770761174	0.028389271369497093	-0.02569199701534486
GEO_B_REVISED_10nm	bonds	angstrom	S1-O2(1-12)	1.4806664390483129	1.4539163673410371	1.4821433224191127	-0.026750071707275724	0.0014768833707998752	0.0282269550780756	-0.02527318833647585
GEO_B_REVISED_10nm	bonds	angstrom	S1-O3(1-13)	1.4823240170020167	1.4528992276984896	1.481560234190252	-0.0294247893035271	-0.0007637828117645906	0.02866100649176251	-0.02866100649176251
GEO_B_REVISED_10nm	bonds	angstrom	S1-C2(1-15)	1.8779260960849893	1.777123899992815	1.8823446654507654	-0.10080219609217433	0.004418569365776115	0.10522076545795045	-0.09638362672639822
GEO_B_REVISED_10nm	bonds	angstrom	F1-C1(2-14)	1.3609327811824499	1.3667045635219144	1.3645487538006251	0.005771782339464515	0.003615972618175256	-0.002155809721289259	-0.002155809721289259
GEO_B_REVISED_10nm	bonds	angstrom	F2-C1(3-14)	1.361694349976532	1.3653694354984625	1.3636733721801584	0.003675085521930521	0.001979022203626446	-0.0016960633183040752	-0.0016960633183040752
GEO_B_REVISED_10nm	bonds	angstrom	F3-C2(4-15)	1.3737307862856514	1.352815551918113	1.345849845826196	-0.020915234367538282	-0.027880940459455328	-0.0069657060919170455	0.0069657060919170455
GEO_B_REVISED_10nm	bonds	angstrom	F4-C2(5-15)	1.3746418065114232	1.3525879603007525	1.345923659032008	-0.022053846210670747	-0.028718147479415146	-0.006664301268744399	0.006664301268744399
GEO_B_REVISED_10nm	bonds	angstrom	F5-C3(6-16)	1.3601883799422818	1.3642784561706374	1.3638745045694034	0.004090076228355555	0.0036861246271215897	-0.000403951601233965	-0.000403951601233965
GEO_B_REVISED_10nm	bonds	angstrom	F6-C3(7-16)	1.3700696599680562	1.3676223151570897	1.3670053621684404	-0.002447344810966534	-0.0030642977996158116	-0.0006169529886492775	0.0006169529886492775
GEO_B_REVISED_10nm	bonds	angstrom	F7-C4(8-17)	1.3403759103553696	1.348784546555151	1.348601338740215	0.008408636199781272	0.008225428384845301	-0.0001832078149359706	-0.0001832078149359706
GEO_B_REVISED_10nm	bonds	angstrom	F8-C4(9-17)	1.3559843534831049	1.3539378109366447	1.3537844155166003	-0.002046542546460195	-0.0021999379665045282	-0.00015339542004433326	0.00015339542004433326
GEO_B_REVISED_10nm	bonds	angstrom	F9-C4(10-17)	1.3442475330395833	1.3500211746790063	1.3500818726421069	0.005773641639422955	0.005834339602523553	6.069796310059772e-05	6.069796310059772e-05
