observable_id	kind	block	family	geometry	source_id	unit	row_weight	observable_scale	J_h_tight_normalized__R_OG2P1-SG3O1	J_h_tight_normalized__R_CG312-SG3O1	J_h_tight_normalized__R_CG312-CG312	J_h_tight_normalized__R_CG302-CG312	J_h_tight_normalized__TH_OG2P1-SG3O1-OG2P1	J_h_tight_normalized__TH_FGA2-CG312-FGA2	J_h_tight_normalized__TH_CG312-CG312-SG3O1	J_h_tight_normalized__TH_FGA3-CG302-FGA3	J_h_tight_normalized__LAMBDA_CS	J_h_tight_normalized__LAMBDA_CC
BOND|A|C3-C4	bond	bond	CG302-CG312	A	GEO_A	angstrom	0.2886751345948129	0.03	7.463026262297896e-05	-0.0033144493586047237	-0.055619726664090784	0.872838945665349	0.005277884661640945	0.015055038710104865	-0.0010857578324035436	0.04803267986297961	-0.0012369368888630328	-0.0009215424098668588
ANGLE|A|S1-C2-F3	angle	angle	FGA2-CG312-SG3O1	A	GEO_A	degree	0.15075567228888181	3.0	-0.0068591375163854105	-0.029744473487604017	0.04826675459525895	-0.0027979789058115733	-0.0004891275040372589	-0.05126616644809505	-0.017492813462909877	0.0029350510820807204	0.001390316421001312	0.0017016654095590163
ANGLE|A|S1-C2-F4	angle	angle	FGA2-CG312-SG3O1	A	GEO_A	degree	0.15075567228888181	3.0	-0.010404316761125462	-0.032563952904965436	0.061009349533406684	0.005282123778290802	0.00415967432811804	-0.045573815073921206	-0.018363396344869137	-0.0043902643060846494	-0.0032600252306750747	-0.002378496888910105
ANGLE|A|S1-C2-C1	angle	angle	CG312-CG312-SG3O1	A	GEO_A	degree	0.21320071635561041	3.0	-0.002980633889134117	-0.0681416482367638	-0.13327354262644361	-0.002685644428548887	0.03488452803735266	0.012187021251477637	0.1173360062575514	0.0023473961665591743	0.002675474134071652	0.001608877836089613
ANGLE|A|F1-C1-F2	angle	angle	FGA2-CG312-FGA2	A	GEO_A	degree	0.12309149097933272	3.0	0.00047589912962097254	0.003570722537603252	0.010503489005143462	0.004687329634285904	-0.003094082459218344	0.1708304945970798	0.0047625365830955245	-0.0017219045419049302	0.0011679104034863093	0.0013544159052927016
ANGLE|A|F1-C1-C2	angle	angle	CG312-CG312-FGA2	A	GEO_A	degree	0.07537783614444091	3.0	-0.0021827578598810475	-0.004105039299256102	0.01535907059812407	0.004254967529727234	0.0033852877037406463	-0.014846574910834893	-0.00906634287249274	-0.0014805334260864615	-0.00034486540067746275	0.0010039180829655072
ANGLE|A|F1-C1-C3	angle	angle	CG312-CG312-FGA2	A	GEO_A	degree	0.07537783614444091	3.0	0.0012671034406342844	0.003647464336385894	0.00742173650353503	0.002803803906441334	-0.0018955854712537595	-0.03257179411635171	-0.0017950675441530581	-8.437384201017278e-05	-0.0015646696525421834	-0.002402021334594842
ANGLE|A|F2-C1-C2	angle	angle	CG312-CG312-FGA2	A	GEO_A	degree	0.07537783614444091	3.0	0.00012522317350665478	-0.0026964342292792923	0.00041753478966022106	0.0025664677041336422	-0.0007691582605040843	-0.03192471954598252	0.014691197879161769	-0.0008799175711386365	-0.0014477330337326023	0.001449878217412366
ANGLE|A|F2-C1-C3	angle	angle	CG312-CG312-FGA2	A	GEO_A	degree	0.07537783614444091	3.0	0.0013446904877111707	0.0042177375535540195	0.00446222350918186	-0.007040820583851374	-0.0027983031877246317	-0.014892232963569663	0.006359303779627273	0.000847091161717996	-0.0014791659232748797	0.0010907004611559478
ANGLE|A|F3-C2-F4	angle	angle	FGA2-CG312-FGA2	A	GEO_A	degree	0.12309149097933272	3.0	0.0018211504382046506	0.011225492682140157	0.013467990803361212	0.0005884268750684684	-0.0010736683500508339	0.17117876756212314	-0.004694637410006427	-0.000923368517982129	0.0017949585090524368	-0.00024623234869000166
ANGLE|A|F3-C2-C1	angle	angle	CG312-CG312-FGA2	A	GEO_A	degree	0.07537783614444091	3.0	0.004752006405441417	0.026211125994921737	-0.003954461924332775	6.045985179128648e-05	-0.006880796042180645	-0.023241669874314867	-0.013225566759711871	0.0006516698357162141	0.000177859713318857	0.0007246325760578784
ANGLE|A|F4-C2-C1	angle	angle	CG312-CG312-FGA2	A	GEO_A	degree	0.07537783614444091	3.0	0.003490278937941375	0.02306763401034678	-0.004178142531023018	-0.00042751473875738197	-0.007526893522740649	-0.029033402204681633	-0.011953969519499398	-0.0004893051117120528	-0.0013997380550371799	-0.0009853380360046954
ANGLE|A|F5-C3-F6	angle	angle	FGA2-CG312-FGA2	A	GEO_A	degree	0.12309149097933272	3.0	0.0015021517922599236	0.000370156343043898	0.011337046695300477	0.002419782180314109	-0.001947873040283251	0.1699149516111845	0.002285774733374574	-0.0013862709542582215	-0.0015220748428855346	0.00011559146291353944
ANGLE|A|F5-C3-C1	angle	angle	CG312-CG312-FGA2	A	GEO_A	degree	0.07537783614444091	3.0	-0.002923619269425118	0.0011342785639181236	-0.002321579944160699	0.014362515344052524	0.0005043090422178911	-0.019372229585267013	-0.0026385336336031797	-0.007446827674129381	0.00031949781847060967	0.00022623199278023364
ANGLE|A|F5-C3-C4	angle	angle	CG302-CG312-FGA2	A	GEO_A	degree	0.15075567228888181	3.0	0.0018853833547755484	-0.0026590568704673986	0.04167266972187118	0.0018727288153568386	0.005832441652604459	-0.057943462855366445	-0.002105705330765731	0.00013934748863361283	0.0026390728169856663	-0.0009218599970928065
ANGLE|A|F6-C3-C1	angle	angle	CG312-CG312-FGA2	A	GEO_A	degree	0.07537783614444091	3.0	0.0007442998040704726	-0.0010264217851043032	-0.01171559045933869	0.013009714697971237	-0.00032910555792800723	-0.024250174156689248	0.0005505568423604358	-0.007583927952884582	-0.00016402783930639573	-8.60550781957042e-05
ANGLE|A|F6-C3-C4	angle	angle	CG302-CG312-FGA2	A	GEO_A	degree	0.15075567228888181	3.0	0.0006148361499524017	0.0037532837404883235	0.04750470434762191	-0.014503909199815007	-0.00685558584301896	-0.048668068663387624	0.0022674050194884357	0.008226375685458379	-7.299993947402862e-05	0.00015293356770329503
ANGLE|A|F7-C4-F8	angle	angle	FGA3-CG302-FGA3	A	GEO_A	degree	0.12309149097933272	3.0	0.0007582634277005998	0.00030066937229508716	0.005051517114571293	0.012089170846737276	-0.0009461590733624274	-0.0016703679597222213	-0.00012109824087054271	0.12459582042158777	0.00020291110078197815	-0.0001223352310098889
ANGLE|A|F7-C4-F9	angle	angle	FGA3-CG302-FGA3	A	GEO_A	degree	0.12309149097933272	3.0	-0.0003503631525329477	0.001004569119721607	0.002192094604928104	0.008580067733815746	-0.0016154604252739946	-0.002265308229890208	0.00048248377520370886	0.127919041318783	0.00020683722694451084	0.00037733217359335825
ANGLE|A|F7-C4-C3	angle	angle	CG312-CG302-FGA3	A	GEO_A	degree	0.12309149097933272	3.0	-0.0006762764987538189	-0.0035005705594338757	-0.004177307754677997	-0.003657733952956303	0.0064488427555450594	0.004322049446011224	-0.0002187787666734636	-0.11192715477462573	-0.0005480359124246702	-0.000720280832047265
ANGLE|A|F8-C4-F9	angle	angle	FGA3-CG302-FGA3	A	GEO_A	degree	0.12309149097933272	3.0	0.0003483338968327574	0.0003718830686601672	0.0034956342653429833	0.010385702118182355	-0.0008335425695761661	-0.00127819885126189	0.00018684008571020303	0.12641511592809612	0.00016676599194479012	0.00010488283180698053
ANGLE|A|F8-C4-C3	angle	angle	CG312-CG302-FGA3	A	GEO_A	degree	0.12309149097933272	3.0	0.0008486343383891997	0.0013148065046287738	0.0010052622396098763	-0.01234861223741965	-0.0024358213220316838	-0.004291189552484295	9.794637832641623e-05	-0.1063395618183347	0.0003054464018504954	0.00021516392144032745
ANGLE|A|F9-C4-C3	angle	angle	CG312-CG302-FGA3	A	GEO_A	degree	0.12309149097933272	3.0	-0.0007705032161915774	0.0008156445796302879	-0.005801819534819548	-0.010378964002040168	-0.0012405752266759355	0.0042661410027073085	-0.00034535327397313325	-0.10274295786624736	-0.00023359270391399322	0.00020595488564186594
ANGLE|A|O1-S1-O2	angle	angle	OG2P1-SG3O1-OG2P1	A	GEO_A	degree	0.12309149097933272	3.0	-0.035060007342319156	0.007882280241125068	0.0016702619631433753	0.000895790684671865	0.10022088804887025	-0.0030873648529416205	0.004446617962456162	-0.0011035705062398165	-0.0011805782363844483	-0.0001892119349897351
ANGLE|A|O1-S1-O3	angle	angle	OG2P1-SG3O1-OG2P1	A	GEO_A	degree	0.12309149097933272	3.0	-0.03467828926438068	0.006378428134806825	0.001395014792743151	0.0009636151986012339	0.10436219545831626	-0.001108458761968082	-0.0008368314149161929	-0.0006637036182978481	0.0016775130909779735	7.581700080958281e-05
ANGLE|A|O1-S1-C2	angle	angle	CG312-SG3O1-OG2P1	A	GEO_A	degree	0.12309149097933272	3.0	0.041358624810730174	-0.008537097734620216	-0.002104110339194005	-0.004289564567192977	-0.11667972439295138	0.008065403557046266	-0.003752635631134005	0.004390126126692033	0.00524936115906999	-0.0010404018432977988
ANGLE|A|O2-S1-O3	angle	angle	OG2P1-SG3O1-OG2P1	A	GEO_A	degree	0.12309149097933272	3.0	-0.03465325078025313	0.007150103945330405	0.000586554215459897	0.0012254462772719674	0.10068341793498839	-0.0028749720423375176	0.0041296289728843544	-0.001255255351722433	0.00019928194358699377	-0.0001284919916996883
ANGLE|A|O2-S1-C2	angle	angle	CG312-SG3O1-OG2P1	A	GEO_A	degree	0.12309149097933272	3.0	0.037148147566107174	-0.007554947924652538	-0.0032316277147056574	0.0013327501007465903	-0.12136541005322718	-0.005995672143435607	0.009234549653517742	-0.0014887922580843894	-0.0026377757525005	-0.0001006207311291891
ANGLE|A|O3-S1-C2	angle	angle	CG312-SG3O1-OG2P1	A	GEO_A	degree	0.12309149097933272	3.0	0.04175650246240836	-0.008565016715746441	0.0011061992382616214	-0.0005997191124646777	-0.11377650705926853	0.0060193848855426375	-0.014244001768877641	0.0005798772631183912	-0.003409127960657646	0.001405736536481905
ANGLE|A|C1-C3-C4	angle	angle	CG302-CG312-CG312	A	GEO_A	degree	0.21320071635561041	3.0	0.0008721004389969243	-0.0019034015380218685	-0.08946811663359795	-0.058301794579929865	0.0022802380715282716	0.01588041464286976	0.0028371628816213105	0.03014878875776505	-0.0017967473378114347	0.0004735302220282022
