observable_id	kind	block	family	geometry	source_id	unit	row_weight	observable_scale	J_2h_normalized__R_OG2P1-SG3O1	J_2h_normalized__R_CG312-SG3O1	J_2h_normalized__R_CG312-CG312	J_2h_normalized__R_CG302-CG312	J_2h_normalized__TH_OG2P1-SG3O1-OG2P1	J_2h_normalized__TH_FGA2-CG312-FGA2	J_2h_normalized__TH_CG312-CG312-SG3O1	J_2h_normalized__TH_FGA3-CG302-FGA3	J_2h_normalized__LAMBDA_CS	J_2h_normalized__LAMBDA_CC
BOND|A|F7-C4	bond	bond	CG302-FGA3	A	GEO_A	angstrom	0.16666666666666666	0.03	-0.0008304367282564574	0.0006560349027505562	-0.0030912798162795337	-0.004410559565922363	-0.0007297282798564131	0.0004718584550496747	0.00024854783717430536	-0.03631389244606844	0.00014475549159959693	0.00030264448066160316
BOND|A|F8-C4	bond	bond	CG302-FGA3	A	GEO_A	angstrom	0.16666666666666666	0.03	-0.00047350297160038873	-0.0002809786509911433	-0.0028442339500309474	-0.012770096325834564	0.0008756228209758385	0.001455759543630666	-0.0001222778285061195	-0.02966401543270627	2.703912348343983e-05	-0.00010136968241357557
BOND|A|F9-C4	bond	bond	CG302-FGA3	A	GEO_A	angstrom	0.16666666666666666	0.03	-0.00018771871420877575	-0.00026241822460397	-0.0029404607070626643	-0.008213944802656605	0.0006375529260298989	0.0013885098834135836	-0.0001344912553546962	-0.03299526505525877	-7.428486527140244e-05	-0.0001206363514576974
BOND|A|C1-C2	bond	bond	CG312-CG312	A	GEO_A	angstrom	0.20412414523193154	0.03	-0.0045890496837924085	-0.04592574356448782	0.5485742015246231	-0.007126498549255528	0.004770393817562618	0.023653974476442536	-0.02980937920782115	0.000356810520956706	0.0011552268227933646	0.00033590825559659494
BOND|A|C1-C3	bond	bond	CG312-CG312	A	GEO_A	angstrom	0.20412414523193154	0.03	-0.0013630155799941419	-0.006444505228138444	0.5576789724549067	-0.032153587561478375	-0.00027688557375351057	0.02548545070921303	-0.0060356797650782	0.011246537739742357	-0.0006202406953972796	6.360954935127231e-05
BOND|A|C3-C4	bond	bond	CG302-CG312	A	GEO_A	angstrom	0.2886751345948129	0.03	0.00021497307255469793	-0.0036956815994048297	-0.055946627998157555	0.8726323340955263	0.005219793264889443	0.014916470347555718	-0.0011204530320352442	0.048035701892409424	-0.0013141317474440269	-0.0009391259990888594
ANGLE|A|S1-C2-F3	angle	angle	FGA2-CG312-SG3O1	A	GEO_A	degree	0.15075567228888181	3.0	-0.0071046479704554065	-0.02971305953289005	0.04825210921723825	-0.0028924746965678177	-0.000540987521545657	-0.05118759629922206	-0.017483314012119132	0.0028966954644405194	0.0014229298398795792	0.0016326312630073163
ANGLE|A|S1-C2-F4	angle	angle	FGA2-CG312-SG3O1	A	GEO_A	degree	0.15075567228888181	3.0	-0.010414398559151118	-0.03231103841210734	0.06113290348723907	0.005584148789994872	0.004100918031536808	-0.04563829242264481	-0.018448954244514256	-0.004302355820980148	-0.003380563330301289	-0.0022673445572386343
ANGLE|A|S1-C2-C1	angle	angle	CG312-CG312-SG3O1	A	GEO_A	degree	0.21320071635561041	3.0	-0.0024819902804395547	-0.06809215921986776	-0.1337890591668633	-0.0028981145756971634	0.034740919585122966	0.012114425258227507	0.11747778387113612	0.00240474241010174	0.0031350105021849695	0.001441747132408296
ANGLE|A|F1-C1-F2	angle	angle	FGA2-CG312-FGA2	A	GEO_A	degree	0.12309149097933272	3.0	0.00047125497118558464	0.0036284498557067175	0.010302992567838093	0.0047514236018893095	-0.003081973873514953	0.17086347268418353	0.004756345655636419	-0.0016974266557855592	0.0011575284606669177	0.001503535528198553
