observable_id	kind	block	family	geometry	source_id	unit	row_weight	observable_scale	J_h_raw__R_OG2P1-SG3O1	J_h_raw__R_CG312-SG3O1	J_h_raw__R_CG312-CG312	J_h_raw__R_CG302-CG312	J_h_raw__TH_OG2P1-SG3O1-OG2P1	J_h_raw__TH_FGA2-CG312-FGA2	J_h_raw__TH_CG312-CG312-SG3O1	J_h_raw__TH_FGA3-CG302-FGA3	J_h_raw__LAMBDA_CS	J_h_raw__LAMBDA_CC
ANGLE|A|F7-C4-F8	angle	angle	FGA3-CG302-FGA3	A	GEO_A	degree	0.12309149097933272	3.0	2.3847208218654714	1.1107462359447595	12.518820628130811	29.545179335457306	-0.004730824997707828	-0.008548345269389301	-0.0009563209132750217	0.6071471751752995	0.012098233478070597	-0.01353473755102641
ANGLE|A|F7-C4-F9	angle	angle	FGA3-CG302-FGA3	A	GEO_A	degree	0.12309149097933272	3.0	-0.3021308212680651	3.0746756860366986	5.8665342831858425	20.5145593667595	-0.007999007911948297	-0.01068266210724289	0.0023416515206520216	0.6240870252468156	0.010502256870523752	0.027775094712438886
ANGLE|A|F7-C4-C3	angle	angle	CG312-CG302-FGA3	A	GEO_A	degree	0.12309149097933272	3.0	-2.929815045995099	-8.71565671855734	-10.456153757104403	-6.899095421807999	0.031762943929784626	0.021713856586814018	-0.0005927023295626554	-0.5472013885266165	-0.02581892558993104	-0.012479244931427047
ANGLE|A|F8-C4-F9	angle	angle	FGA3-CG302-FGA3	A	GEO_A	degree	0.12309149097933272	3.0	0.12787610562270402	0.3814471586167656	8.297530006629472	25.241540550261732	-0.0035791781087937125	-0.005744639209652291	0.0015756106395770075	0.6160407950773106	0.011594411639066493	0.008427225169356234
ANGLE|A|F8-C4-C3	angle	angle	CG312-CG302-FGA3	A	GEO_A	degree	0.12309149097933272	3.0	1.8963710459942718	2.9907735089338416	2.6590785550197893	-32.383691989288366	-0.011274354480505622	-0.019942381178530866	0.0012717204256986747	-0.5156367739619157	-0.0008052063736840864	0.0184111909037199
ANGLE|A|F9-C4-C3	angle	angle	CG312-CG302-FGA3	A	GEO_A	degree	0.12309149097933272	3.0	-0.7526216132376362	1.9530000929677271	-14.513814979864037	-24.75482027767839	-0.00715513377928545	0.018817743460694203	-0.0031702976795173754	-0.5020311587187081	-0.001982628843677503	-0.02507046205948882
ANGLE|A|O1-S1-O2	angle	angle	OG2P1-SG3O1-OG2P1	A	GEO_A	degree	0.12309149097933272	3.0	-85.14287910734453	19.351100436921342	4.325984538439798	0.816530587115949	0.4886906147879486	-0.015031976904687383	0.021930701899989913	-0.005241520040577541	-0.05648557515470998	-0.0001511562295775093
ANGLE|A|O1-S1-O3	angle	angle	OG2P1-SG3O1-OG2P1	A	GEO_A	degree	0.12309149097933272	3.0	-84.35259239168147	15.436699962137368	3.766521730156569	2.0086786213937557	0.5090337141917516	-0.0057806671001898735	-0.003981151821363937	-0.0031577768951862595	0.08673154249706272	-0.00036742025457670024
ANGLE|A|O1-S1-C2	angle	angle	CG312-SG3O1-OG2P1	A	GEO_A	degree	0.12309149097933272	3.0	99.69554178550766	-21.56642650719931	-5.129203477132194	-10.02920811263408	-0.5683313677193098	0.04002028124730117	-0.01742665798484211	0.019534882038271917	0.2574726059164334	-0.032023851446751905
ANGLE|A|O2-S1-O3	angle	angle	OG2P1-SG3O1-OG2P1	A	GEO_A	degree	0.12309149097933272	3.0	-84.70659250691881	17.21515501729698	0.5720041992276492	3.1936251101427615	0.4905514028792979	-0.01460981030187014	0.019761941990680043	-0.006551563433518481	0.00247737420266958	-0.003300953697902287
ANGLE|A|O2-S1-C2	angle	angle	CG312-SG3O1-OG2P1	A	GEO_A	degree	0.12309149097933272	3.0	90.90043439555728	-17.097422144033203	-8.196074731159797	6.110725028541708	-0.5926580313093837	-0.030537020192696218	0.043538746107586235	-0.00653566218157664	-0.12740570653434702	-0.02322447531057037
ANGLE|A|O3-S1-C2	angle	angle	CG312-SG3O1-OG2P1	A	GEO_A	degree	0.12309149097933272	3.0	102.25048137495918	-21.217088300289788	3.286615134868498	-3.0082397197332966	-0.5542823735303699	0.03103740171442837	-0.06881116421532596	0.004212723565245824	-0.16751855760887224	0.059082803063006395
ANGLE|A|C1-C3-C4	angle	angle	CG302-CG312-CG312	A	GEO_A	degree	0.21320071635561041	3.0	-0.10695581108421948	-2.2638212208718755	-125.56971834586506	-80.94960429456677	0.008786911478864567	0.047943123766089	0.007549863535864176	0.08411505280829346	0.008690666544453052	0.039860409173684275
