observable_id	kind	block	family	geometry	source_id	unit	row_weight	observable_scale	E_raw__R_OG2P1-SG3O1	E_raw__R_CG312-SG3O1	E_raw__R_CG312-CG312	E_raw__R_CG302-CG312	E_raw__TH_OG2P1-SG3O1-OG2P1	E_raw__TH_FGA2-CG312-FGA2	E_raw__TH_CG312-CG312-SG3O1	E_raw__TH_FGA3-CG302-FGA3	E_raw__LAMBDA_CS	E_raw__LAMBDA_CC
ANGLE|A|O1-S1-O3	angle	angle	OG2P1-SG3O1-OG2P1	A	GEO_A	degree	0.12309149097933272	3.0	0.19427977467103466	0.16083792255826596	0.9588228410148919	0.6181886768011815	0.0011754441157287212	0.0009714976799622832	0.0003613306695614974	0.00028500012308654897	0.01352451222760683	0.01361495870532644
ANGLE|A|O1-S1-C2	angle	angle	CG312-SG3O1-OG2P1	A	GEO_A	degree	0.12309149097933272	3.0	2.547859782644529	2.5488932260077495	1.2743833648631775	0.9815436088393928	0.000558279869107524	0.0015773056951115993	0.0011239992823715785	0.0038837061513442273	0.004731432002969816	0.024074499329525937
ANGLE|A|O2-S1-O3	angle	angle	OG2P1-SG3O1-OG2P1	A	GEO_A	degree	0.12309149097933272	3.0	0.9066815430870987	0.42938601142297644	1.074011842250114	0.5326272828756209	0.0007935799173004957	0.0009140016530824743	0.0008495452229450812	0.0006734195914948736	0.009082788978655883	0.003931353226045442
ANGLE|A|O2-S1-C2	angle	angle	CG312-SG3O1-OG2P1	A	GEO_A	degree	0.12309149097933272	3.0	2.209103918722868	2.371253218050602	0.6858875751903157	6.334021073302157	0.0023206200113725078	0.0032472250438277768	0.002299726205660827	0.0010273542059783336	0.012079875841664296	0.01947903774881271
ANGLE|A|O3-S1-C2	angle	angle	CG312-SG3O1-OG2P1	A	GEO_A	degree	0.12309149097933272	3.0	0.8953122544100974	0.8332153930876333	0.6078029029747215	3.1452941772336933	0.0010571219570134304	0.0035549860903503596	0.0011843505104322857	0.0028198309138134556	0.0067913573341592875	0.010678907071939032
ANGLE|A|C1-C3-C4	angle	angle	CG302-CG312-CG312	A	GEO_A	degree	0.21320071635561041	3.0	2.5814406868195285	2.0110687577744835	1.7763283418929725	1.2064705218328933	0.004113523504521008	0.006472283435306645	0.0006993423394199705	0.001637775630349645	0.07975767181493398	0.08745947235818223
ANGLE|A|C2-C1-C3	angle	angle	CG312-CG312-CG312	A	GEO_A	degree	0.21320071635561041	3.0	2.0826275568673442	1.2569268075288875	3.0468297618546187	1.633524629416435	0.0020534031608063223	0.0010196455884485215	0.002122749014254218	0.0009839997444310625	0.039684494996338554	0.016949379552959595
BOND|B|S1-O1	bond	bond	OG2P1-SG3O1	B	GEO_B_REVISED	angstrom	0.16666666666666666	0.03	0.007072406137623825	0.0031910807673006096	0.012670733346270537	0.006459851725376722	5.118082046679417e-06	9.230713455049486e-06	1.5402367324951424e-05	2.024674300283309e-05	0.0001295820379189055	2.4848184674407985e-05
BOND|B|S1-O2	bond	bond	OG2P1-SG3O1	B	GEO_B_REVISED	angstrom	0.16666666666666666	0.03	0.004216431061931583	0.005277883522413095	0.010414432675097349	0.0008081066397364934	6.746047121219024e-06	6.814831582900576e-06	1.9428837528888383e-05	1.680259969229903e-05	0.0001339928529191251	0.00020382000285243526
BOND|B|S1-O3	bond	bond	OG2P1-SG3O1	B	GEO_B_REVISED	angstrom	0.16666666666666666	0.03	0.005416075436522493	0.009245601879812734	0.0031818797712170866	0.010233681441094343	2.979826863367832e-06	1.1806514608745541e-05	1.1324073254639004e-06	1.0123960393124812e-05	0.00010134376368427213	0.00034785977148894885
BOND|B|S1-C2	bond	bond	CG312-SG3O1	B	GEO_B_REVISED	angstrom	0.2886751345948129	0.03	0.011528794265926649	0.011106646149018472	0.05114023626147293	0.017105594602285678	3.661399236827446e-05	2.325329608500295e-05	2.3752081663176244e-05	4.1157954795713005e-05	0.00043696609444168484	0.000520793658430862
BOND|B|F1-C1	bond	bond	CG312-FGA2	B	GEO_B_REVISED	angstrom	0.11785113019775793	0.03	0.018336076469189513	0.013120474139500434	0.007849177101521804	0.0025593033797963044	1.2112995485155424e-06	4.845232969303509e-06	3.2912043893171457e-06	4.148432725576666e-06	0.000320908300105796	2.3948221912557627e-05
BOND|B|F2-C1	bond	bond	CG312-FGA2	B	GEO_B_REVISED	angstrom	0.11785113019775793	0.03	0.012838952643076192	0.002262734191446039	0.004862417646786085	0.0033591606994754037	1.0505511738131374e-05	3.685356768242707e-06	8.042204371158074e-06	4.748160575981461e-06	0.0001307029457872533	8.732549720973348e-05
BOND|B|F3-C2	bond	bond	CG312-FGA2	B	GEO_B_REVISED	angstrom	0.11785113019775793	0.03	0.00047813182979997983	0.00391035203956473	0.0009914270074400083	0.009695966053384885	6.332399891289348e-06	7.80632989794609e-06	7.4855000176168044e-06	3.3983156525521776e-06	0.00029129058026442964	5.211996404362372e-05
BOND|B|F4-C2	bond	bond	CG312-FGA2	B	GEO_B_REVISED	angstrom	0.11785113019775793	0.03	0.014781125319050833	0.000526046505909664	0.020793520177696413	0.010854633458622432	2.5561609160996584e-06	1.4328059418310322e-05	9.935077547872455e-06	1.3658265290982293e-05	0.0005814973488016137	3.155171369614983e-05
BOND|B|F5-C3	bond	bond	CG312-FGA2	B	GEO_B_REVISED	angstrom	0.11785113019775793	0.03	0.0032146423566533347	0.014029960684070579	0.0029108516445116653	0.005401771719937975	9.031761051393006e-06	4.149250748775671e-06	3.3888717733251953e-06	5.070843568001043e-06	0.00012467682197338058	8.007743149919543e-06
BOND|B|F6-C3	bond	bond	CG312-FGA2	B	GEO_B_REVISED	angstrom	0.11785113019775793	0.03	0.018291215528969996	0.010345321693788437	0.006495986802062929	0.006983472633042842	4.743679069701689e-06	6.365190050633071e-06	2.8582291128171295e-06	3.822056461693942e-06	0.00040928500064618185	0.0002808088085756088
BOND|B|F7-C4	bond	bond	CG302-FGA3	B	GEO_B_REVISED	angstrom	0.16666666666666666	0.03	0.021401525107229025	0.013672528327641388	0.03225918896561709	0.0029682945392914477	5.538667111299665e-06	1.1005362666755772e-05	7.155328880310121e-06	1.775872315070261e-05	0.00026169893951911673	2.6900804358865365e-05
BOND|B|F8-C4	bond	bond	CG302-FGA3	B	GEO_B_REVISED	angstrom	0.16666666666666666	0.03	0.00664645018875064	0.004888604896978476	0.015622475664033013	0.002557979907922931	1.780169108204088e-05	1.5165564756146225e-05	3.292109011542035e-06	1.4624392316174783e-05	0.000149340992729532	3.9077004570592635e-05
BOND|B|F9-C4	bond	bond	CG302-FGA3	B	GEO_B_REVISED	angstrom	0.16666666666666666	0.03	0.0012981061173664918	0.0020779389576138607	0.007937478286470293	0.001539694402965286	1.122579253325556e-05	4.896743426509855e-06	4.20112975018285e-06	2.635140463549304e-06	0.00016317260498758884	1.6735201148016617e-05
BOND|B|C1-C2	bond	bond	CG312-CG312	B	GEO_B_REVISED	angstrom	0.20412414523193154	0.03	0.008711212776145527	0.02653503911550394	0.0021671715375254494	0.03294689758339567	1.7723162180537537e-05	2.4877372505859152e-05	1.8484318392929366e-05	1.0548643387585516e-05	0.00010754467913252084	3.661003423236404e-05
BOND|B|C1-C3	bond	bond	CG312-CG312	B	GEO_B_REVISED	angstrom	0.20412414523193154	0.03	0.016531123217005374	0.04264750216173498	0.02102233045300775	0.009635261543876563	4.11153332250662e-05	3.989721841282576e-05	7.5036586458512915e-06	1.4530090257452262e-05	0.0006933986142881728	0.0003001761379023225
BOND|B|C3-C4	bond	bond	CG302-CG312	B	GEO_B_REVISED	angstrom	0.2886751345948129	0.03	0.006807204163669338	0.0009855984623299023	0.023418750517464653	0.01027926962714179	4.665587638271464e-06	4.70048153661665e-05	1.5537248393856604e-05	1.1320086546459623e-05	0.0007132678871199433	0.0002678984428003313
ANGLE|B|S1-C2-F3	angle	angle	FGA2-CG312-SG3O1	B	GEO_B_REVISED	degree	0.15075567228888181	3.0	3.2759267402160503	3.8053973924250037	0.9307742670109821	0.8310249212742397	0.0012968847494843122	0.0013665696049475875	0.004315618991824257	0.001064145127101602	0.09168955920131662	0.040322170467294166
ANGLE|B|S1-C2-F4	angle	angle	FGA2-CG312-SG3O1	B	GEO_B_REVISED	degree	0.15075567228888181	3.0	2.884876233493012	8.250622389073367	1.7199879586076832	4.361083556441112	0.003152144318351345	0.0053840432314355875	0.004982432142457278	0.001830421810215213	0.01715002375772264	0.042530441675753664
ANGLE|B|S1-C2-C1	angle	angle	CG312-CG312-SG3O1	B	GEO_B_REVISED	degree	0.21320071635561041	3.0	1.8230214172708419	8.99994762486747	5.189197398952509	0.4291882792234108	0.0016590838616996261	0.0020922236734659035	0.0015664436807556116	0.0022513864194073385	0.04007256885090704	0.0011827949867220277
ANGLE|B|F1-C1-F2	angle	angle	FGA2-CG312-FGA2	B	GEO_B_REVISED	degree	0.12309149097933272	3.0	1.63571233160225	0.3847030097129703	2.0851641410914112	1.7208467024700231	0.00019937814941550278	0.0007915918574953307	0.0004718827772016392	0.001289407657168085	0.019493458768986005	0.005881345541434161
ANGLE|B|F1-C1-C2	angle	angle	CG312-CG312-FGA2	B	GEO_B_REVISED	degree	0.07537783614444091	3.0	6.048541679257941	2.388542912832153	12.621221827617296	1.6087668543431577	0.0030301966483744255	0.014634270920270271	0.0075187699144969936	0.006719274514864705	0.21271348882972593	0.039522531361480664
ANGLE|B|F1-C1-C3	angle	angle	CG312-CG312-FGA2	B	GEO_B_REVISED	degree	0.07537783614444091	3.0	4.449897607615021	4.003495818035577	3.206107567605769	1.509109357982516	0.00048717754466848034	0.00675364986849693	0.0016530200659615752	0.0022178966298786918	0.10229876729951574	0.04165792616411863
ANGLE|B|F2-C1-C2	angle	angle	CG312-CG312-FGA2	B	GEO_B_REVISED	degree	0.07537783614444091	3.0	2.3086341209867274	0.81267203208423	5.201847545760206	7.271435131205706	0.005898410515165012	0.010043854089701314	0.0070692074728602	0.0011607003719846431	0.11776297871750113	0.08297228279673546
ANGLE|B|F2-C1-C3	angle	angle	CG312-CG312-FGA2	B	GEO_B_REVISED	degree	0.07537783614444091	3.0	2.6799646716708185	2.023755661903344	5.719555739621874	0.8080455993391222	0.0043653522807459095	0.0016930195746365805	0.0017980473154901788	0.0029403778028271274	0.029644776322675533	0.07311866390709353
ANGLE|B|F3-C2-F4	angle	angle	FGA2-CG312-FGA2	B	GEO_B_REVISED	degree	0.12309149097933272	3.0	1.5540355474981233	1.1585569708526213	0.31942352647145467	0.28910710219834423	0.0006086260312609677	0.0009192236508239186	0.00035247682183065166	0.0006268274365142019	0.024495758480919737	0.012703763723943112
ANGLE|B|F3-C2-C1	angle	angle	CG312-CG312-FGA2	B	GEO_B_REVISED	degree	0.07537783614444091	3.0	0.5504561762582485	4.835374950686128	2.0969348652641373	3.1786797158365325	0.003036997237562348	0.007325337090188226	0.003846624728437569	0.0014829152804408572	0.04328375718416446	0.029749169268112847
ANGLE|B|F4-C2-C1	angle	angle	CG312-CG312-FGA2	B	GEO_B_REVISED	degree	0.07537783614444091	3.0	0.7600865199037187	1.5889673912532516	6.577753162705484	7.7499633967216	0.004929538864069605	0.00835736563205089	0.005901528922224603	0.0025572299428598642	0.08850679904283082	0.0209173837362004
ANGLE|B|F5-C3-F6	angle	angle	FGA2-CG312-FGA2	B	GEO_B_REVISED	degree	0.12309149097933272	3.0	1.4190936954128246	0.518043502405135	0.27669939652508546	0.09015741239793994	0.00017777207600620993	0.0008171891450227875	0.00034699033815200237	0.00034952568337403287	0.03403826876674554	0.023927218165305335
ANGLE|B|F5-C3-C1	angle	angle	CG312-CG312-FGA2	B	GEO_B_REVISED	degree	0.07537783614444091	3.0	0.7913057176612645	4.362858472332589	2.0357965591655316	3.404626084235032	0.0003906173670162613	0.001297690074272952	0.0008974734774790244	0.0012217731823919186	0.034719821624031436	0.05043496180429887
ANGLE|B|F5-C3-C4	angle	angle	CG302-CG312-FGA2	B	GEO_B_REVISED	degree	0.15075567228888181	3.0	2.029266571501613	3.721356451173311	0.15403748004027729	0.37873006319387975	0.0018099381581001843	0.0003952978608860512	0.003631919396979643	0.0013155086013007134	0.01956626267548227	0.03813472850676802
ANGLE|B|F6-C3-C1	angle	angle	CG312-CG312-FGA2	B	GEO_B_REVISED	degree	0.07537783614444091	3.0	2.594547850158365	4.125121622978721	3.274152054734599	1.1970411000890107	0.0011530647935273023	0.002239518063371889	0.0030264155324617	0.002611613443968158	0.03661299185437393	0.06644666035819702
ANGLE|B|F6-C3-C4	angle	angle	CG302-CG312-FGA2	B	GEO_B_REVISED	degree	0.15075567228888181	3.0	1.458826297223886	4.131429962276479	10.111549868402589	3.77789220035179	0.0008654922152751398	0.004190218227667673	0.0021443123728168098	0.006876469110217696	0.09478703898402879	0.017401915565206455
ANGLE|B|F7-C4-F8	angle	angle	FGA3-CG302-FGA3	B	GEO_B_REVISED	degree	0.12309149097933272	3.0	0.5739021355015936	1.6488327202331177	2.2198803750297413	0.019925764372462303	0.0004421921440546444	0.002490276683923955	0.0010855167198970015	0.0011224566795319975	0.03139806206758379	0.02150319085026084
ANGLE|B|F7-C4-F9	angle	angle	FGA3-CG302-FGA3	B	GEO_B_REVISED	degree	0.12309149097933272	3.0	1.5288695935185295	0.47884574028226207	0.4965206729677525	0.9287876293017964	0.0010103332117578135	0.0004770245106173568	0.0008262691869036999	0.0012380983489789943	0.05247898506165835	0.0027200373376618844
ANGLE|B|F7-C4-C3	angle	angle	CG312-CG302-FGA3	B	GEO_B_REVISED	degree	0.12309149097933272	3.0	5.654718976573248	5.325113762968187	8.702574378901277	2.1244743987811074	0.001162636468941141	0.00443712562348987	0.005724115644280116	0.004744371981359897	0.1849855221606357	0.015114762869477409
ANGLE|B|F8-C4-F9	angle	angle	FGA3-CG302-FGA3	B	GEO_B_REVISED	degree	0.12309149097933272	3.0	1.7451533222517213	0.19435478234705678	1.9911273218827978	0.1990450777499292	0.0011132363193388035	0.002319197102092791	0.0008852742216587815	0.0004974902650558076	0.05116527981724938	0.0042819196299398714
ANGLE|B|F8-C4-C3	angle	angle	CG312-CG302-FGA3	B	GEO_B_REVISED	degree	0.12309149097933272	3.0	1.9421953742545535	5.92246575277979	4.141408669928526	1.3860818391326928	0.0007042351236616095	0.0009670064292993858	0.006775229041017941	0.0018492192377851317	0.07524023748760497	0.0510861036255033
ANGLE|B|F9-C4-C3	angle	angle	CG312-CG302-FGA3	B	GEO_B_REVISED	degree	0.12309149097933272	3.0	1.4793270861752241	0.721977638984977	0.9827806704282057	1.410664056714056	0.0019915370953234885	0.0009802184906852033	0.002611871637421008	0.00419494498127498	0.0033716922152555837	0.041109428448734275
ANGLE|B|O1-S1-O2	angle	angle	OG2P1-SG3O1-OG2P1	B	GEO_B_REVISED	degree	0.12309149097933272	3.0	0.1113984496971385	1.1283721274905485	0.7436229960098546	0.6012794215623077	0.0019162766376660183	0.0012271014346121453	0.0004119290370689197	0.00017869397093821322	0.002493691684191675	0.012938751327783611
