observable_id	kind	block	family	geometry	source_id	unit	row_weight	observable_scale	J_2h_raw__R_OG2P1-SG3O1	J_2h_raw__R_CG312-SG3O1	J_2h_raw__R_CG312-CG312	J_2h_raw__R_CG302-CG312	J_2h_raw__TH_OG2P1-SG3O1-OG2P1	J_2h_raw__TH_FGA2-CG312-FGA2	J_2h_raw__TH_CG312-CG312-SG3O1	J_2h_raw__TH_FGA3-CG302-FGA3	J_2h_raw__LAMBDA_CS	J_2h_raw__LAMBDA_CC
ANGLE|A|F5-C3-C4	angle	angle	CG302-CG312-FGA2	A	GEO_A	degree	0.15075567228888181	3.0	3.802098321969538	-5.423577030885696	82.14182997767594	3.508629252113593	0.022834117183307967	-0.23052487024906299	-0.008046681385803112	0.0005122248178288658	0.09607938791049264	-0.025053417996332428
ANGLE|A|F6-C3-C1	angle	angle	CG312-CG312-FGA2	A	GEO_A	degree	0.07537783614444091	3.0	2.5060922767607963	-4.232578714951529	-47.09241407469733	51.52792570309117	-0.0028243728648220667	-0.1926046436029374	0.004509444200945012	-0.0602909261724669	-0.019054072684170364	-0.0022948766144281763
ANGLE|A|F6-C3-C4	angle	angle	CG302-CG312-FGA2	A	GEO_A	degree	0.15075567228888181	3.0	1.769242587812414	8.430413978558704	96.25270404537645	-28.946867017772604	-0.027114162082821025	-0.19407575221719142	0.0095191698096464	0.03286068771865658	-0.020064132786714595	0.025928925126521563
ANGLE|A|F7-C4-F8	angle	angle	FGA3-CG302-FGA3	A	GEO_A	degree	0.12309149097933272	3.0	1.6944890716068528	0.8575332119988843	11.907674847066119	29.413955261436087	-0.004603189323056256	-0.007911239802069758	-0.0007898787388320727	0.6069863510381097	0.008140601816037929	-0.005502390140250668
ANGLE|A|F7-C4-F9	angle	angle	FGA3-CG302-FGA3	A	GEO_A	degree	0.12309149097933272	3.0	-1.1502381534853612	2.2567899006276093	5.473432920268806	20.685036318631944	-0.007885713012516504	-0.011093954250902982	0.0025131180218664895	0.6233465938637082	0.0053806107565890215	0.021008583510493395
ANGLE|A|F7-C4-C3	angle	angle	CG312-CG302-FGA3	A	GEO_A	degree	0.12309149097933272	3.0	-1.9385761004500068	-8.535148715711927	-10.07191942955643	-8.47542370993537	0.031073141702901097	0.021057810517628894	-0.0012497541647817911	-0.5455216993155574	-0.01848328548035738	-0.04969770007967611
ANGLE|A|F8-C4-F9	angle	angle	FGA3-CG302-FGA3	A	GEO_A	degree	0.12309149097933272	3.0	1.0659297633388576	1.1187390532647612	8.77038386211737	25.463903866050686	-0.0040104543775925094	-0.00601286243627186	0.0009377737282996179	0.6159766569039782	0.016215112351787297	0.003550787290649282
ANGLE|A|F8-C4-C3	angle	angle	CG312-CG302-FGA3	A	GEO_A	degree	0.12309149097933272	3.0	2.30287994707723	2.927620853022006	3.822961649550649	-29.4602981050609	-0.010681551544291068	-0.020842262296138614	0.0006433508062535509	-0.5175656128525112	0.0074755395592518425	0.028248912272772486
ANGLE|A|F9-C4-C3	angle	angle	CG312-CG302-FGA3	A	GEO_A	degree	0.12309149097933272	3.0	-1.6067515361370965	2.1489459336088146	-15.575669071505871	-26.247468124335427	-0.006891007573461394	0.0204033337455769	-0.0016548482562406264	-0.501269680533575	-0.013532019849264998	0.005988313577063309
ANGLE|A|O1-S1-O2	angle	angle	OG2P1-SG3O1-OG2P1	A	GEO_A	degree	0.12309149097933272	3.0	-85.08368787462572	18.974001064524515	3.9259879621234006	1.997288352235671	0.48831239629086554	-0.015237004529335962	0.021710801574005956	-0.005511090379485495	-0.06116702734516366	-0.0061659016841275616
ANGLE|A|O1-S1-O3	angle	angle	OG2P1-SG3O1-OG2P1	A	GEO_A	degree	0.12309149097933272	3.0	-84.37635378253816	15.389525031629603	3.1790589108169343	2.2822274381262275	0.5081912782999112	-0.005191524007557291	-0.004239779565697432	-0.003360597284142841	0.0782651764561848	0.00908878849443795
ANGLE|A|O1-S1-C2	angle	angle	CG312-SG3O1-OG2P1	A	GEO_A	degree	0.12309149097933272	3.0	101.13487043348712	-19.781602798254028	-3.860217544747968	-9.47738849546198	-0.5681924132072318	0.03915342377239739	-0.017681025750807322	0.021549782343264212	0.2544248284217332	-0.03732149672458718
ANGLE|A|O2-S1-O3	angle	angle	OG2P1-SG3O1-OG2P1	A	GEO_A	degree	0.12309149097933272	3.0	-84.05398305510658	17.428598920115945	0.7836821409270556	2.8727325576980434	0.48998477384922623	-0.014296570387948293	0.02023908916966377	-0.006315843070680671	0.004228064214331084	-0.004174389160738201
ANGLE|A|O2-S1-C2	angle	angle	CG312-SG3O1-OG2P1	A	GEO_A	degree	0.12309149097933272	3.0	89.05822464994273	-18.14873841719944	-8.557694966970786	2.6435879913542237	-0.5914134441060277	-0.028605725798708903	0.04435976389405383	-0.006837322361008091	-0.11658353163291224	-0.02215229094524318
ANGLE|A|O3-S1-C2	angle	angle	CG312-SG3O1-OG2P1	A	GEO_A	degree	0.12309149097933272	3.0	101.8405765883692	-21.703617876642767	3.2737407148282216	-1.4138978171978067	-0.5535420606203374	0.029183143834181635	-0.0693710336169211	0.0027834040144867345	-0.1621575367445871	0.060235869933151776
ANGLE|A|C1-C3-C4	angle	angle	CG302-CG312-CG312	A	GEO_A	degree	0.21320071635561041	3.0	1.135775974702824	-3.8557888483730096	-127.01836673512545	-81.06318317294736	0.0070477396773860335	0.04472711480766023	0.0072897407346523835	0.08501706993881086	-0.011719406571728541	-0.020972995689660934
ANGLE|A|C2-C1-C3	angle	angle	CG312-CG312-CG312	A	GEO_A	degree	0.21320071635561041	3.0	-3.636994852517006	-8.723572066624996	-115.79125551508085	-18.616490698637023	0.023380093444739458	0.08185342490759595	-0.07873301262814891	0.017943206270256695	0.30002397577916895	-0.0958423528145147
BOND|B|S1-O1	bond	bond	OG2P1-SG3O1	B	GEO_B_REVISED	angstrom	0.16666666666666666	0.03	8.570959225466968	-0.04888791317808616	-0.012693307887778893	-0.004212461563901648	-0.0006116449614139707	2.559911459892872e-05	-1.6242544868760866e-05	5.806885974568576e-06	-0.000147600326765307	4.566807748074275e-05
BOND|B|S1-O2	bond	bond	OG2P1-SG3O1	B	GEO_B_REVISED	angstrom	0.16666666666666666	0.03	8.571438494425765	-0.057794141279710054	-0.018621898307702445	-0.0021337927685327607	-0.0005669229215875538	1.2956779267381258e-05	-6.918607296624302e-06	7.165324687641306e-06	0.00010054772688006253	5.09077729682339e-05
BOND|B|S1-O3	bond	bond	OG2P1-SG3O1	B	GEO_B_REVISED	angstrom	0.16666666666666666	0.03	8.56545675413467	-0.0453993370234107	-0.013841840901529512	0.0033122783121841692	-0.0006264354115139148	2.59347241611807e-05	-1.2222202210587785e-05	5.254937059384623e-07	6.368102995146785e-05	-7.350752826429385e-05
BOND|B|S1-C2	bond	bond	CG312-SG3O1	B	GEO_B_REVISED	angstrom	0.2886751345948129	0.03	-0.45088063029108394	7.172136484199232	-1.2638372793610242	0.0036955965832530246	0.0009810285598180202	0.0009424421386768911	-0.0008754625193820864	9.10918818891604e-06	-0.00021088229272825387	0.00014536793147335025
BOND|B|F1-C1	bond	bond	CG312-FGA2	B	GEO_B_REVISED	angstrom	0.11785113019775793	0.03	-0.026958963959322624	-0.08451127791764268	-0.32531877539709875	-0.03474251339807832	-4.664659123937431e-05	-0.0001924154632372277	-9.376570868296907e-05	4.0938669589651866e-05	-0.00018753963263784534	3.4148948120371614e-05
BOND|B|F2-C1	bond	bond	CG312-FGA2	B	GEO_B_REVISED	angstrom	0.11785113019775793	0.03	-0.03117056229845483	-0.05925171889331615	-0.280738286821236	-0.06487728081572275	-3.5697061367967464e-07	-5.337853388981406e-05	-3.699699435316672e-05	-1.5114544512584427e-05	1.720335892518854e-05	-9.56182906963754e-06
BOND|B|F3-C2	bond	bond	CG312-FGA2	B	GEO_B_REVISED	angstrom	0.11785113019775793	0.03	-0.056545935296248295	-0.37818490990754183	-0.20849034804243383	-0.00327636646568763	0.00010875058821696593	-0.0001103006730189815	0.0001528754573226765	-2.355840134082854e-08	-0.00011376288197140205	-4.057926387135424e-06
BOND|B|F4-C2	bond	bond	CG312-FGA2	B	GEO_B_REVISED	angstrom	0.11785113019775793	0.03	-0.05728222560685836	-0.3655121862889965	-0.19792375820848473	-0.034450614793346546	9.51334046878638e-05	-1.8075103256853797e-05	0.00014943504259290474	3.7198048709496945e-05	6.765818652221256e-05	-2.3909172525149458e-05
