observable_id	kind	block	family	geometry	source_id	unit	row_weight	observable_scale	J_h_tight_raw__R_OG2P1-SG3O1	J_h_tight_raw__R_CG312-SG3O1	J_h_tight_raw__R_CG312-CG312	J_h_tight_raw__R_CG302-CG312	J_h_tight_raw__TH_OG2P1-SG3O1-OG2P1	J_h_tight_raw__TH_FGA2-CG312-FGA2	J_h_tight_raw__TH_CG312-CG312-SG3O1	J_h_tight_raw__TH_FGA3-CG302-FGA3	J_h_tight_raw__LAMBDA_CS	J_h_tight_raw__LAMBDA_CC
BOND|A|F7-C4	bond	bond	CG302-FGA3	A	GEO_A	angstrom	0.16666666666666666	0.03	-0.015464653651653393	0.00811230372721461	-0.06023385537301529	-0.08058622699602669	-2.384679640909937e-05	1.8797414029325665e-05	7.918332927792093e-06	-0.0013081979326250437	0.00010035706025979252	7.711248037223228e-05
BOND|A|F8-C4	bond	bond	CG302-FGA3	A	GEO_A	angstrom	0.16666666666666666	0.03	-0.010237729600848233	-0.0034128287959012127	-0.051926871394880614	-0.2296287079651682	2.6203750933762038e-05	4.979623834666658e-05	-1.468297897933013e-06	-0.0010699877172871686	-5.042776535457705e-05	9.560300568978164e-06
BOND|A|F9-C4	bond	bond	CG302-FGA3	A	GEO_A	angstrom	0.16666666666666666	0.03	-0.0029923579281110335	-0.004111560361175215	-0.050941476326782364	-0.149005903624988	2.5206443637015852e-05	5.071399105716079e-05	-7.303376939549189e-06	-0.0011860829255543326	8.285832024945705e-06	-4.6955509289681174e-05
BOND|A|C1-C2	bond	bond	CG312-CG312	A	GEO_A	angstrom	0.20412414523193154	0.03	-0.057795633298107774	-0.6703239736559619	8.059268903020111	-0.10683228527186284	0.00013765846431468276	0.0006918050796308473	-0.0008737643552076957	1.1214762973166259e-05	0.00039235651223989976	7.941553345824914e-05
BOND|A|C1-C3	bond	bond	CG312-CG312	A	GEO_A	angstrom	0.20412414523193154	0.03	-0.017968149930491784	-0.09427892301416829	8.196921474288853	-0.4731101715588215	-1.0358019043366085e-05	0.0007477380402965972	-0.00017274186609739228	0.00032878428709415264	-0.00014725322966091525	3.814711914795765e-05
BOND|A|C3-C4	bond	bond	CG302-CG312	A	GEO_A	angstrom	0.2886751345948129	0.03	0.0007755804398712485	-0.03444476812930475	-0.5780171549117918	9.07080840430341	0.00010969877268540706	0.00031291310346981405	-2.2567052765265494e-05	0.000998340503356454	-0.000257092504472034	-0.00019153899302626343
ANGLE|A|S1-C2-F3	angle	angle	FGA2-CG312-SG3O1	A	GEO_A	degree	0.15075567228888181	3.0	-13.64951131638037	-59.19075488703385	96.04962890438173	-5.567907721143683	-0.0019467028866415603	-0.20403676625788592	-0.0696205185409795	0.01168135581574603	0.05533389489997376	0.06772542818680449
ANGLE|A|S1-C2-F4	angle	angle	FGA2-CG312-SG3O1	A	GEO_A	degree	0.15075567228888181	3.0	-20.704328937995342	-64.80144808594446	121.40707266357254	10.511293601283	0.01655529479572948	-0.1813814938382876	-0.07308539466301767	-0.017473031320527355	-0.1297473659668924	-0.09466298094650938
ANGLE|A|S1-C2-C1	angle	angle	CG312-CG312-SG3O1	A	GEO_A	degree	0.21320071635561041	3.0	-4.19412365035754	-95.88379823701842	-187.53249741077127	-3.779036685884307	0.09817376404824074	0.03429731792594026	0.33021279176709584	0.006606158384506955	0.07529451626069772	0.04527783574815203
ANGLE|A|F1-C1-F2	angle	angle	FGA2-CG312-FGA2	A	GEO_A	degree	0.12309149097933272	3.0	1.1598668417320823	8.702606108336397	25.599224418137112	11.424013789238074	-0.015081866835480184	0.8327000992737794	0.023214618062731063	-0.008393291176531648	0.05692889382657995	0.06601996098268614
ANGLE|A|F1-C1-C2	angle	angle	CG312-CG312-FGA2	A	GEO_A	degree	0.07537783614444091	3.0	-8.687266595309495	-16.337850126355136	61.12832916306843	16.934556949500745	0.026946549889707683	-0.11817724416274444	-0.07216717806905137	-0.011784897273379613	-0.0274509392933453	0.07991087043478728
