observable_id	kind	block	family	geometry	source_id	unit	row_weight	observable_scale	J_h_normalized__R_OG2P1-SG3O1	J_h_normalized__R_CG312-SG3O1	J_h_normalized__R_CG312-CG312	J_h_normalized__R_CG302-CG312	J_h_normalized__TH_OG2P1-SG3O1-OG2P1	J_h_normalized__TH_FGA2-CG312-FGA2	J_h_normalized__TH_CG312-CG312-SG3O1	J_h_normalized__TH_FGA3-CG302-FGA3	J_h_normalized__LAMBDA_CS	J_h_normalized__LAMBDA_CC
BOND|A|F7-C4	bond	bond	CG302-FGA3	A	GEO_A	angstrom	0.16666666666666666	0.03	-0.001014539520110485	0.0006306438738260903	-0.003236630794002505	-0.004162368724259914	-0.000668803339888403	0.0005814352189992266	0.0002802860597907032	-0.03641422812566038	0.00037777743445833854	0.000518940004548243
BOND|A|F8-C4	bond	bond	CG302-FGA3	A	GEO_A	angstrom	0.16666666666666666	0.03	-0.0006926501754625194	-0.00032365280558696894	-0.002733046306737899	-0.013037317477957196	0.0009849303082349386	0.0016683884129200766	-3.264036681679035e-05	-0.029593318282111137	0.00023675629247223008	4.652697538354289e-05
BOND|A|F9-C4	bond	bond	CG302-FGA3	A	GEO_A	angstrom	0.16666666666666666	0.03	1.5214910380972272e-06	-0.0003379327132445474	-0.0028208779632412887	-0.008304648328818744	0.0005824607719751017	0.0011468919227992152	-0.00018208072610461891	-0.03308439290091663	-6.1003150531036e-05	-0.00042044548419988774
BOND|A|C1-C2	bond	bond	CG312-CG312	A	GEO_A	angstrom	0.20412414523193154	0.03	-0.004102545472273893	-0.04575045083310928	0.5486422858673717	-0.006516225737449084	0.00430411267223528	0.023391570815511947	-0.02968790629667476	0.0006909113753988705	0.0013188116785500434	3.051293719306618e-05
BOND|A|C1-C3	bond	bond	CG312-CG312	A	GEO_A	angstrom	0.20412414523193154	0.03	-0.000996067785290193	-0.0062878893780854775	0.5576848825137993	-0.03218226065165148	-0.00036052403392379496	0.02553147147041575	-0.006016499847967415	0.011449922596670352	-0.0003888035605109285	-3.96302881295468e-05
BOND|A|C3-C4	bond	bond	CG302-CG312	A	GEO_A	angstrom	0.2886751345948129	0.03	-0.00010989387056278973	-0.003973609833406409	-0.05661016797099324	0.8723188820597633	0.005331287612811868	0.014942036500004613	-0.001065922359517077	0.04767238632921674	-0.0012631228915640459	-0.0011809907158329218
ANGLE|A|S1-C2-F3	angle	angle	FGA2-CG312-SG3O1	A	GEO_A	degree	0.15075567228888181	3.0	-0.007183355696058937	-0.02949814218301564	0.04827536071338441	-0.0024115657534510893	-0.000524630359005854	-0.05137900914822146	-0.017444291699631655	0.00302941483314487	0.0014292303629283739	0.0019285370814071823
ANGLE|A|S1-C2-F4	angle	angle	FGA2-CG312-SG3O1	A	GEO_A	degree	0.15075567228888181	3.0	-0.010536627582908702	-0.032997343925345965	0.0608898615373051	0.005878427120939745	0.004190242430146768	-0.04550275502240877	-0.018154523253448046	-0.004337034560760371	-0.00361563159328252	-0.0021243201760019876
ANGLE|A|S1-C2-C1	angle	angle	CG312-CG312-SG3O1	A	GEO_A	degree	0.21320071635561041	3.0	-0.0025274947536789876	-0.06758289305212385	-0.1332640815137532	-0.003400095262259466	0.035099198168081984	0.012234248109224853	0.11668106412168176	0.001935923109911849	0.0036014690239149346	0.0007013267501697888
ANGLE|A|F1-C1-F2	angle	angle	FGA2-CG312-FGA2	A	GEO_A	degree	0.12309149097933272	3.0	0.0003810158222490656	0.003549986362274232	0.01048299445232421	0.005013821173032719	-0.0029793564986594786	0.1708825396949202	0.004700762075442783	-0.0017716142990530314	0.0014380381627051666	0.0014380049054011899
ANGLE|A|F1-C1-C2	angle	angle	CG312-CG312-FGA2	A	GEO_A	degree	0.07537783614444091	3.0	-0.0022444974565750614	-0.004184222343500293	0.015383001374598589	0.00427440657290168	0.0032151274895817787	-0.014828401813027735	-0.008965923448478939	-0.0014466833318312574	-0.0004448818709850353	0.0010752356181355626
ANGLE|A|F1-C1-C3	angle	angle	CG312-CG312-FGA2	A	GEO_A	degree	0.07537783614444091	3.0	0.001330692958598023	0.003684865974787114	0.007275367643267478	0.0026401743841101143	-0.001961430784315489	-0.03271865415070977	-0.0018662942870594306	-0.0001431828713026288	-0.0018559088562023322	-0.0025737403365276045
ANGLE|A|F2-C1-C2	angle	angle	CG312-CG312-FGA2	A	GEO_A	degree	0.07537783614444091	3.0	0.00017216079275193263	-0.002640644743094502	0.000251976952787201	0.0025247447023185503	-0.0007916537140953761	-0.03191402000863863	0.014574766607844387	-0.0009209743918228423	-0.0015252506090604006	0.0014364705085126571
ANGLE|A|F2-C1-C3	angle	angle	CG312-CG312-FGA2	A	GEO_A	degree	0.07537783614444091	3.0	0.0012159413840442943	0.004335233428354246	0.004527437403726665	-0.007222432787115423	-0.002745637229431948	-0.014849338264811069	0.006356349495225522	0.0009552412678417606	-0.0014855755674489607	0.001109772714348794
ANGLE|A|F3-C2-F4	angle	angle	FGA2-CG312-FGA2	A	GEO_A	degree	0.12309149097933272	3.0	0.001900571454569854	0.01138071893180679	0.013533224445567357	0.0006156216972193888	-0.000938525623765438	0.17116618982572002	-0.004866527837637503	-0.0009651463219878068	0.002103295425054959	-0.0004213634173907985
ANGLE|A|F3-C2-C1	angle	angle	CG312-CG312-FGA2	A	GEO_A	degree	0.07537783614444091	3.0	0.004932341236436651	0.026138693736021474	-0.003668168055585917	-0.0005731173073624395	-0.007055948794219445	-0.02318242124686851	-0.013044528090210913	0.000867552996389442	-0.0001798154702834516	0.0008422769543349719
ANGLE|A|F4-C2-C1	angle	angle	CG312-CG312-FGA2	A	GEO_A	degree	0.07537783614444091	3.0	0.0033037949222237965	0.022917921977899307	-0.004467165586070964	2.7597078793530074e-05	-0.0074988387174759075	-0.029086534919151797	-0.011914488389293968	-0.0006041979065992541	-0.0014107835582469971	-0.00088927446169356
ANGLE|A|F5-C3-F6	angle	angle	FGA2-CG312-FGA2	A	GEO_A	degree	0.12309149097933272	3.0	0.0016064880917056512	0.0004810901490347868	0.011431510254905719	0.002144340682884007	-0.0018254570130950664	0.17013936418508532	0.0023369848628556674	-0.0013407309962476946	-0.0013108444283690436	0.0002788219638432393
ANGLE|A|F5-C3-C1	angle	angle	CG312-CG312-FGA2	A	GEO_A	degree	0.07537783614444091	3.0	-0.002663028518780336	0.0013805654055174042	-0.0019899579585904263	0.014149905580117113	0.0003681029998801174	-0.01943271374522323	-0.0026618311200220287	-0.007183764862491869	1.1444691028596307e-07	0.0002574626769704567
ANGLE|A|F5-C3-C4	angle	angle	CG302-CG312-FGA2	A	GEO_A	degree	0.15075567228888181	3.0	0.0017466241981851623	-0.002908581780182542	0.0411850540443689	0.0019927070523490685	0.005606073022166316	-0.05858899743108229	-0.002269926548875891	-0.00012676983515686496	0.0025219066237523106	-0.0017180716178982734
