observable_id	kind	family	variable_id	J_h_raw	J_2h_raw	J_h_tight_raw	endpoint_rounding_raw	binary_arithmetic_bound_raw	uncertainty_envelope_raw	J_h_normalized	J_2h_normalized	J_h_tight_normalized	uncertainty_envelope_normalized	step_disagreement_normalized	convergence_disagreement_normalized
ANGLE|A|F1-C1-C2	angle	CG312-CG312-FGA2	R_CG302-CG312	17.01192336449253	17.092865189749062	16.934556949500745	0.0048797783884841316	6.896208005041898e-10	0.16318801863680127	0.00427440657290168	0.004294743971706409	0.004254967529727234	4.100253243180259e-05	2.0337398804729304e-05	1.9439043174445357e-05
ANGLE|A|F1-C1-C2	angle	CG312-CG312-FGA2	TH_OG2P1-SG3O1-OG2P1	0.025592091686640117	0.02649209100303196	0.026946549889707683	4.879750562934524e-06	6.896240357944899e-13	0.002259337270022342	0.0032151274895817787	0.0033281941579169335	0.0033852877037406463	0.00028383992422462086	0.00011306666833515479	0.00017016021415886765
ANGLE|A|F1-C1-C2	angle	CG312-CG312-FGA2	TH_FGA2-CG312-FGA2	-0.11803258813065298	-0.11836187934870779	-0.11817724416274444	4.879748848180714e-06	6.896309688434283e-13	0.0004788269989944479	-0.014828401813027735	-0.014869770578824966	-0.014846574910834893	6.015490511956311e-05	4.1368765797231144e-05	1.8173097807158006e-05
ANGLE|A|F1-C1-C2	angle	CG312-CG312-FGA2	TH_CG312-CG312-SG3O1	-0.07136784954636965	-0.07166176517394618	-0.07216717806905137	4.879764437710532e-06	6.896235398533241e-13	0.001098123914695954	-0.008965923448478939	-0.009002847988505196	-0.00906634287249274	0.00013795700751373938	3.692454002625703e-05	0.00010041942401380066
ANGLE|A|F1-C1-C2	angle	CG312-CG312-FGA2	TH_FGA3-CG302-FGA3	-0.011515453925149188	-0.012214861550198464	-0.011784897273379613	4.879767009125284e-06	6.896188861956677e-13	0.0009737307402888255	-0.0014466833318312574	-0.0015345497207631521	-0.0014805334260864615	0.00012232952698382706	8.786638893189475e-05	3.38500942552041e-05
ANGLE|A|F1-C1-C2	angle	CG312-CG312-FGA2	LAMBDA_CS	-0.03541214981012786	-0.024593987056817923	-0.0274509392933453	9.759547705382571e-05	1.3792434107857178e-11	0.018876968747146318	-0.0004448818709850353	-0.0003089735877512203	-0.00034486540067746275	0.00023715084285435452	0.000135908283233815	0.00010001647030757254
ANGLE|A|F1-C1-C2	angle	CG312-CG312-FGA2	LAMBDA_CC	0.08558767455795646	0.08177771998830963	0.07991087043478728	9.759540469155917e-05	1.3792486594254328e-11	0.00958435409750757	0.0010752356181355626	0.0010273712629241289	0.0010039180829655072	0.00012040797878537106	4.786435521143373e-05	7.13175351700554e-05
ANGLE|A|F1-C1-C3	angle	CG312-CG312-FGA2	R_OG2P1-SG3O1	5.29609110580509	5.910763648063977	5.0430080197827465	0.004819651919780524	6.727723633243399e-10	0.8725752802010109	0.001330692958598023	0.0014851352458409477	0.0012671034406342844	0.00021924278831560474	0.00015444228724292462	6.35895179637387e-05
ANGLE|A|F1-C1-C3	angle	CG312-CG312-FGA2	R_CG312-SG3O1	14.665581409339268	14.357138109978962	14.516724767993594	0.004819650248306651	6.727732974533215e-10	0.46211959095428634	0.003684865974787114	0.003607366679857008	0.003647464336385894	0.00011611191602029419	7.749929493010635e-05	3.740163840122018e-05
ANGLE|A|F1-C1-C3	angle	CG312-CG312-FGA2	R_CG312-CG312	28.955597621532547	29.995812414675527	29.538138330131858	0.004819679010065593	6.727651503589347e-10	1.6275751807523557	0.007275367643267478	0.007536731444042662	0.00742173650353503	0.00040894365095836625	0.0002613638007751837	0.00014636886026755166
