observable_id	kind	block	family	geometry	source_id	unit	row_weight	observable_scale	E_normalized__R_OG2P1-SG3O1	E_normalized__R_CG312-SG3O1	E_normalized__R_CG312-CG312	E_normalized__R_CG302-CG312	E_normalized__TH_OG2P1-SG3O1-OG2P1	E_normalized__TH_FGA2-CG312-FGA2	E_normalized__TH_CG312-CG312-SG3O1	E_normalized__TH_FGA3-CG302-FGA3	E_normalized__LAMBDA_CS	E_normalized__LAMBDA_CC
BOND|A|F8-C4	bond	bond	CG302-FGA3	A	GEO_A	angstrom	0.16666666666666666	0.03	0.0003464025021626768	0.00018009323885121432	0.0002663354036003429	0.0005507560660112039	0.0003680397643321148	0.0004994723784668798	9.946708681325429e-05	0.00020094384345903935	0.000589918465886668	0.0001712351211519841
BOND|A|F9-C4	bond	bond	CG302-FGA3	A	GEO_A	angstrom	0.16666666666666666	0.03	0.00036037168184012734	0.0001883950602577138	0.0001321546771725351	0.00012061397647497842	0.0001744943112157378	0.0005051319508441126	7.00642655183864e-05	0.00022845675372863662	0.00010066894377856956	0.000593190525130835
BOND|A|C1-C2	bond	bond	CG312-CG312	A	GEO_A	angstrom	0.20412414523193154	0.03	0.0006606797274935972	0.00032009897289545956	0.00035070299443736746	0.0013671881711942882	0.0008474669294908809	0.0004085819992474704	0.0001616960339913971	0.0006455406415646458	0.0001837219307317926	0.0005491843047048179
BOND|A|C1-C3	bond	bond	CG312-CG312	A	GEO_A	angstrom	0.20412414523193154	0.03	0.0005975825502064483	0.00028771945532463534	5.501549472448743e-05	4.160702065302022e-05	9.383792624309868e-05	0.00014098990553094705	0.0001609445339979177	0.0004699012548705827	0.00034772402713409434	0.0002767740525684038
BOND|A|C3-C4	bond	bond	CG302-CG312	A	GEO_A	angstrom	0.2886751345948129	0.03	0.0005152244132148832	0.000942922045714916	0.0016598146166498	0.0008393489782606269	0.0001678139675491684	0.00014148503100496572	7.728281386045645e-05	0.0007265257654113873	8.302819549262603e-05	0.0005071463596217517
ANGLE|A|S1-C2-F3	angle	angle	FGA2-CG312-SG3O1	A	GEO_A	degree	0.15075567228888181	3.0	0.0004052039108506584	0.0004635266868277349	3.41356148017054e-05	0.0008696001059276375	5.299901556478876e-05	0.00030539454973433017	8.868307930247465e-05	0.00022822212640170547	4.7492476179096295e-05	0.0005250554961608285
ANGLE|A|S1-C2-F4	angle	angle	FGA2-CG312-SG3O1	A	GEO_A	degree	0.15075567228888181	3.0	0.0002568129633462979	0.0011219696784248625	0.0003648030567062348	0.0008928547934457655	0.00012102905334988021	0.00020773401172645615	0.0005044406387287364	8.904504707445012e-05	0.0005929477464734939	0.00039947421246505854
ANGLE|A|S1-C2-C1	angle	angle	CG312-CG312-SG3O1	A	GEO_A	degree	0.21320071635561041	3.0	0.0005016990782142137	0.0010710768733695143	0.000537494287364528	0.0012194870097903953	0.0005744764433251097	0.00016857744715940547	0.001453189625364497	0.0008818201012754297	0.0013955089067627102	0.0016510269534552038
ANGLE|A|F1-C1-F2	angle	angle	FGA2-CG312-FGA2	A	GEO_A	degree	0.12309149097933272	3.0	0.0001872076395645956	0.00010128485184393814	0.00020258160672084147	0.0005909742939864284	0.00021838592576825885	7.215469764387048e-05	0.00011840067954018804	0.00012493999323975072	0.0005527226423946106	0.000151204803011328
ANGLE|A|F1-C1-C2	angle	angle	CG312-CG312-FGA2	A	GEO_A	degree	0.07537783614444091	3.0	0.00016857134206454337	0.0002202032742639575	0.0003356110778103125	4.100253243180259e-05	0.00028383992422462086	6.015490511956311e-05	0.00013795700751373938	0.00012232952698382706	0.00023715084285435452	0.00012040797878537106
ANGLE|A|F1-C1-C3	angle	angle	CG312-CG312-FGA2	A	GEO_A	degree	0.07537783614444091	3.0	0.00021924278831560474	0.00011611191602029419	0.00040894365095836625	0.00022211935199578214	0.00011803887358801982	0.00022911438321301963	0.00017097869962295968	8.596010628261389e-05	0.0003792156551556245	0.00031369141254477065
