state_key	source_id	observable_id	kind	block	family	unit	raw_value	raw_input_numeric_strings	serialized_input_sha256	source_geometry_sha256	row_weight	observable_scale
primary__BASE	GEO_A	ANGLE|A|F2-C1-C3	angle	angle	CG312-CG312-FGA2	degree	107.44792085744346	F2:5.059472725,5.190289736,5.086093973;C1:5.001652755,5.103754337,4.997268083;C3:5.113831672,5.023631296,4.931822122	fbd6dc7a9ba67d49effda9c5a574c9e1576d2ae8ff32508192c53ccf064af681	bf6d3b621559c8a9eab217fdb97f1679c9dff8be0a8702542092e3f650516442	0.07537783614444091	3.0
primary__BASE	GEO_A	ANGLE|A|F3-C2-F4	angle	angle	FGA2-CG312-FGA2	degree	102.86230869197894	F3:4.932902299,4.968268912,5.179641126;C2:4.891065922,5.037653790,5.071467369;F4:4.808362757,5.130693615,5.125398677	fbd6dc7a9ba67d49effda9c5a574c9e1576d2ae8ff32508192c53ccf064af681	bf6d3b621559c8a9eab217fdb97f1679c9dff8be0a8702542092e3f650516442	0.12309149097933272	3.0
primary__BASE	GEO_A	ANGLE|A|F3-C2-C1	angle	angle	CG312-CG312-FGA2	degree	113.41880085714132	F3:4.932902299,4.968268912,5.179641126;C2:4.891065922,5.037653790,5.071467369;C1:5.001652755,5.103754337,4.997268083	fbd6dc7a9ba67d49effda9c5a574c9e1576d2ae8ff32508192c53ccf064af681	bf6d3b621559c8a9eab217fdb97f1679c9dff8be0a8702542092e3f650516442	0.07537783614444091	3.0
primary__BASE	GEO_A	ANGLE|A|F4-C2-C1	angle	angle	CG312-CG312-FGA2	degree	110.29971514230452	F4:4.808362757,5.130693615,5.125398677;C2:4.891065922,5.037653790,5.071467369;C1:5.001652755,5.103754337,4.997268083	fbd6dc7a9ba67d49effda9c5a574c9e1576d2ae8ff32508192c53ccf064af681	bf6d3b621559c8a9eab217fdb97f1679c9dff8be0a8702542092e3f650516442	0.07537783614444091	3.0
primary__BASE	GEO_A	ANGLE|A|F5-C3-F6	angle	angle	FGA2-CG312-FGA2	degree	101.89764096825904	F5:5.073761636,4.954207488,4.821946484;C3:5.113831672,5.023631296,4.931822122;F6:5.203089277,5.112317152,4.878145728	fbd6dc7a9ba67d49effda9c5a574c9e1576d2ae8ff32508192c53ccf064af681	bf6d3b621559c8a9eab217fdb97f1679c9dff8be0a8702542092e3f650516442	0.12309149097933272	3.0
primary__BASE	GEO_A	ANGLE|A|F5-C3-C1	angle	angle	CG312-CG312-FGA2	degree	113.44702968286389	F5:5.073761636,4.954207488,4.821946484;C3:5.113831672,5.023631296,4.931822122;C1:5.001652755,5.103754337,4.997268083	fbd6dc7a9ba67d49effda9c5a574c9e1576d2ae8ff32508192c53ccf064af681	bf6d3b621559c8a9eab217fdb97f1679c9dff8be0a8702542092e3f650516442	0.07537783614444091	3.0
primary__BASE	GEO_A	ANGLE|A|F5-C3-C4	angle	angle	CG302-CG312-FGA2	degree	110.00561278446902	F5:5.073761636,4.954207488,4.821946484;C3:5.113831672,5.023631296,4.931822122;C4:5.192074191,4.934523524,5.022913001	fbd6dc7a9ba67d49effda9c5a574c9e1576d2ae8ff32508192c53ccf064af681	bf6d3b621559c8a9eab217fdb97f1679c9dff8be0a8702542092e3f650516442	0.15075567228888181	3.0
primary__BASE	GEO_A	ANGLE|A|F6-C3-C1	angle	angle	CG312-CG312-FGA2	degree	107.91097049319173	F6:5.203089277,5.112317152,4.878145728;C3:5.113831672,5.023631296,4.931822122;C1:5.001652755,5.103754337,4.997268083	fbd6dc7a9ba67d49effda9c5a574c9e1576d2ae8ff32508192c53ccf064af681	bf6d3b621559c8a9eab217fdb97f1679c9dff8be0a8702542092e3f650516442	0.07537783614444091	3.0
primary__BASE	GEO_A	ANGLE|A|F6-C3-C4	angle	angle	CG302-CG312-FGA2	degree	106.49606837959308	F6:5.203089277,5.112317152,4.878145728;C3:5.113831672,5.023631296,4.931822122;C4:5.192074191,4.934523524,5.022913001	fbd6dc7a9ba67d49effda9c5a574c9e1576d2ae8ff32508192c53ccf064af681	bf6d3b621559c8a9eab217fdb97f1679c9dff8be0a8702542092e3f650516442	0.15075567228888181	3.0
primary__BASE	GEO_A	ANGLE|A|F7-C4-F8	angle	angle	FGA3-CG302-FGA3	degree	103.25502141949906	F7:5.127623070,4.826646576,5.071308900;C4:5.192074191,4.934523524,5.022913001;F8:5.302211723,4.881403532,4.964810550	fbd6dc7a9ba67d49effda9c5a574c9e1576d2ae8ff32508192c53ccf064af681	bf6d3b621559c8a9eab217fdb97f1679c9dff8be0a8702542092e3f650516442	0.12309149097933272	3.0
primary__BASE	GEO_A	ANGLE|A|F7-C4-F9	angle	angle	FGA3-CG302-FGA3	degree	103.76727163378484	F7:5.127623070,4.826646576,5.071308900;C4:5.192074191,4.934523524,5.022913001;F9:5.241045829,4.995006235,5.133440030	fbd6dc7a9ba67d49effda9c5a574c9e1576d2ae8ff32508192c53ccf064af681	bf6d3b621559c8a9eab217fdb97f1679c9dff8be0a8702542092e3f650516442	0.12309149097933272	3.0
primary__BASE	GEO_A	ANGLE|A|F7-C4-C3	angle	angle	CG312-CG302-FGA3	degree	116.4797530492304	F7:5.127623070,4.826646576,5.071308900;C4:5.192074191,4.934523524,5.022913001;C3:5.113831672,5.023631296,4.931822122	fbd6dc7a9ba67d49effda9c5a574c9e1576d2ae8ff32508192c53ccf064af681	bf6d3b621559c8a9eab217fdb97f1679c9dff8be0a8702542092e3f650516442	0.12309149097933272	3.0
primary__BASE	GEO_A	ANGLE|A|F8-C4-F9	angle	angle	FGA3-CG302-FGA3	degree	103.40024587224949	F8:5.302211723,4.881403532,4.964810550;C4:5.192074191,4.934523524,5.022913001;F9:5.241045829,4.995006235,5.133440030	fbd6dc7a9ba67d49effda9c5a574c9e1576d2ae8ff32508192c53ccf064af681	bf6d3b621559c8a9eab217fdb97f1679c9dff8be0a8702542092e3f650516442	0.12309149097933272	3.0
primary__BASE	GEO_A	ANGLE|A|F8-C4-C3	angle	angle	CG312-CG302-FGA3	degree	113.45711770459134	F8:5.302211723,4.881403532,4.964810550;C4:5.192074191,4.934523524,5.022913001;C3:5.113831672,5.023631296,4.931822122	fbd6dc7a9ba67d49effda9c5a574c9e1576d2ae8ff32508192c53ccf064af681	bf6d3b621559c8a9eab217fdb97f1679c9dff8be0a8702542092e3f650516442	0.12309149097933272	3.0
primary__BASE	GEO_A	ANGLE|A|F9-C4-C3	angle	angle	CG312-CG302-FGA3	degree	114.89923994275716	F9:5.241045829,4.995006235,5.133440030;C4:5.192074191,4.934523524,5.022913001;C3:5.113831672,5.023631296,4.931822122	fbd6dc7a9ba67d49effda9c5a574c9e1576d2ae8ff32508192c53ccf064af681	bf6d3b621559c8a9eab217fdb97f1679c9dff8be0a8702542092e3f650516442	0.12309149097933272	3.0
primary__BASE	GEO_A	ANGLE|A|O1-S1-O2	angle	angle	OG2P1-SG3O1-OG2P1	degree	112.25690718089993	O1:4.876091793,4.817237275,4.938749637;S1:4.792282305,4.931558820,4.970037174;O2:4.677345998,4.895003479,5.051149998	fbd6dc7a9ba67d49effda9c5a574c9e1576d2ae8ff32508192c53ccf064af681	bf6d3b621559c8a9eab217fdb97f1679c9dff8be0a8702542092e3f650516442	0.12309149097933272	3.0
