state_key	state_stage	state_id	variable_id	multiplier	source_id	axis	target_deg	accepted_qm_center_deg	final_mm_torsion_deg	wrapped_drift_vs_accepted_qm_center_deg	absolute_drift_deg	gate_limit_deg	gate_pass	start_g96_sha256	final_g96_sha256
primary__R_OG2P1-SG3O1_-2h	primary	R_OG2P1-SG3O1_-2h	R_OG2P1-SG3O1	-2	T_CC_000	T_CC	0.0	8.2317896820712e-05	0.001497740635842249	0.0014154227390292817	0.0014154227390292817	0.02	True	a6e94cfe558c5be38544a34d2a6fad98313d167e35f5e4b511ff44a3e9ca9bd2	674d77cf39888401b4d54e9a1a63e58985778fe36706ca160e847f1bbed7bfb7
primary__R_OG2P1-SG3O1_-2h	primary	R_OG2P1-SG3O1_-2h	R_OG2P1-SG3O1	-2	T_CC_030	T_CC	30.0	30.000158540910803	30.010252159356057	0.010093618445239372	0.010093618445239372	0.02	True	bab98c0a3ea47718c84ee2523940894bf3eb8df2875321a686eefa8b41f8b782	144fc082c08ccd89d7066783c22b0f247a7ee526448b78378f905e1981bedf1a
primary__R_OG2P1-SG3O1_-2h	primary	R_OG2P1-SG3O1_-2h	R_OG2P1-SG3O1	-2	T_CC_060	T_CC	60.0	60.0001592609087	60.0044152993262	0.004256038417508989	0.004256038417508989	0.02	True	41baeb9c356cf99a1669a39f741dfb4147717de0ce46134528141edf74e37c1d	20b27ebf22af330fe74ebf5cb720439cc229143615b362b24259a2aacc7e1d2f
primary__R_OG2P1-SG3O1_-2h	primary	R_OG2P1-SG3O1_-2h	R_OG2P1-SG3O1	-2	T_CC_090	T_CC	90.0	90.00019699894702	90.00656881336951	0.006371814422493571	0.006371814422493571	0.02	True	dbc39b01855c642528b1b5129ecf4ae28ec9520145b3527abc86ff7044f37fe4	6ff1a0fbf733b8d79bd721559b4cd6dedc3a0be77410318f979401d7c0864b42
primary__R_OG2P1-SG3O1_-2h	primary	R_OG2P1-SG3O1_-2h	R_OG2P1-SG3O1	-2	T_CC_120	T_CC	120.0	119.99983965803996	119.99830779174226	-0.001531866297682427	0.001531866297682427	0.02	True	703b1af8fd53d30a74d3f4bf3a1f53070360f76270386005e08d7e6d5c6d10b8	ae7aef6a25e6cf2b850a84111e016a0b6a9a0d15844b21c7b9ad7cc03b648988
primary__R_OG2P1-SG3O1_-2h	primary	R_OG2P1-SG3O1_-2h	R_OG2P1-SG3O1	-2	T_CC_150	T_CC	150.0	150.00011419393934	150.00514984374067	0.0050356498013286455	0.0050356498013286455	0.02	True	3625c62a0da1954c05f2c25a8ce89fd780c033322f4d07af01007123ad2086d7	c8159b9aeb8a233bfeca72fe340f7149aa2678e90ad3714030880fa35e78a01d
primary__R_OG2P1-SG3O1_-2h	primary	R_OG2P1-SG3O1_-2h	R_OG2P1-SG3O1	-2	T_CC_180	T_CC	180.0	-179.99987411198484	-179.99722751596335	0.002646596021492087	0.002646596021492087	0.02	True	237d0de9329d2f7154e75e1b94b8d20dc99d256df491b1962585edd08ac5d56b	20fed1abea4145863d1ffa733f085cd4fd522d243f08914122fb4ce0c8ad631e
primary__R_OG2P1-SG3O1_-2h	primary	R_OG2P1-SG3O1_-2h	R_OG2P1-SG3O1	-2	T_CC_210	T_CC	210.0	-150.00009928563182	-150.0060898907049	-0.005990605073094457	0.005990605073094457	0.02	True	ff7ba181ddce36b5fec269c010000630a05fa87e61843c9cb6ae5b286660aa06	6abf0c1ee14b586ccea836fc10028cf3d0a84d0018eecd4e23dd7cd06afdbf83
primary__R_OG2P1-SG3O1_-2h	primary	R_OG2P1-SG3O1_-2h	R_OG2P1-SG3O1	-2	T_CC_240	T_CC	240.0	-120.00007620746388	-120.00285483030737	-0.0027786228434933946	0.0027786228434933946	0.02	True	880de9f672087b3c73f343d26033dc31c7e6d04945e3ef56427c9859c467bda9	5ecacab2daaf141e7017bb5935297818ea29dd4b8d3e2b7a2f8f6a7395af317c
primary__R_OG2P1-SG3O1_-2h	primary	R_OG2P1-SG3O1_-2h	R_OG2P1-SG3O1	-2	T_CC_270	T_CC	270.0	-89.99993474284005	-89.99488100025361	0.005053742586426324	0.005053742586426324	0.02	True	0bb8e714e59c30b159e44188b0df6faf6cdafd8794878db4b1f2197b15d282c8	552d39f11488a4d1e3b655f8ed7035a158710447427e5ad9eacc54e11c37cdd0
primary__R_OG2P1-SG3O1_-2h	primary	R_OG2P1-SG3O1_-2h	R_OG2P1-SG3O1	-2	T_CC_300	T_CC	300.0	-59.99998160172803	-60.00128010694	-0.0012985052119631746	0.0012985052119631746	0.02	True	fc6381c1ad4b27e5f9a79cad7e8361d93f1a8d0e253a0d934cd0410aba899c01	c849830c5811e6dac03a6d3c53b4f3299847a2c6e62e78f2b2d8ad85aafdb708
