atom_i	atom_j	element_pair	shortest_bond_path	graph_class	distance_A	GEO_A_same_pair_A	delta_same_pair_A	GEO_A_class_min_A	delta_class_min_A	adjacent_prev_id	adjacent_prev_distance_A	delta_vs_adjacent_prev_A	adjacent_next_id	adjacent_next_distance_A	delta_vs_adjacent_next_A
F6	O3	F-O	5	>1-4	4.19686756458664	4.901588069377589	-0.7047205047909495	2.7983082752897475	1.3985592892968923	T_CC_300	4.909421451586694	-0.7125538870000545	T_CC_000	4.4322829906118155	-0.23541542602517573
F6	C1	C-F	2	1-3	2.3304791818012127	2.3304791818012127	0.0	2.30773818281683	0.022740998984382532	T_CC_300	2.3304791818012127	0.0	T_CC_000	2.3304791818012127	0.0
F6	C2	C-F	3	1-4	3.794711560627301	3.794711560627301	0.0	3.027915086844433	0.7667964737828679	T_CC_300	3.794711560627301	0.0	T_CC_000	3.794711560627301	0.0
F6	C3	C-F	1	1-2	1.376479748997145	1.376479748997145	0.0	1.330175827384082	0.04630392161306296	T_CC_300	1.376479748997145	0.0	T_CC_000	1.376479748997145	0.0
F6	C4	C-F	2	1-3	2.3231144867335183	2.3231144867335183	0.0	2.30773818281683	0.015376303916688094	T_CC_300	2.3231144867335183	0.0	T_CC_000	2.3231144867335183	0.0
F7	F8	F-F	2	1-3	2.177311651646008	2.177311651646008	0.0	2.177311651646008	0.0	T_CC_300	2.177311651646008	0.0	T_CC_000	2.177311651646008	0.0
F7	F9	F-F	2	1-3	2.186728732929554	2.186728732929554	0.0	2.177311651646008	0.009417081283546125	T_CC_300	2.186728732929554	0.0	T_CC_000	2.186728732929554	0.0
F7	O1	F-O	6	>1-4	2.3833828764100473	2.7983082752897475	-0.41492539887970015	2.7983082752897475	-0.41492539887970015	T_CC_300	2.8309380150229644	-0.44755513861291707	T_CC_000	1.7336604330702179	0.6497224433398294
F7	O2	F-O	6	>1-4	4.506048760667015	4.634121634197165	-0.12807287353014996	2.7983082752897475	1.707740485377268	T_CC_300	4.646342139022963	-0.14029337835594724	T_CC_000	3.920748521705791	0.5853002389612243
F7	O3	F-O	6	>1-4	3.1354147828513015	4.745491644772058	-1.6100768619207568	2.7983082752897475	0.337106507561554	T_CC_300	4.771060246983259	-1.6356454641319575	T_CC_000	2.634205996624443	0.5012087862268584
F7	C1	C-F	3	1-4	3.190051100259713	3.190051100259713	0.0	3.027915086844433	0.16213601341527983	T_CC_300	3.190051100259713	0.0	T_CC_000	3.190051100259713	0.0
F7	C2	C-F	4	>1-4	3.266571738979149	3.266571738979149	0.0	3.0895997228579213	0.1769720161212276	T_CC_300	3.266571738979149	0.0	T_CC_000	3.266571738979149	0.0
F7	C3	C-F	2	1-3	2.4051321085657764	2.4051321085657764	0.0	2.30773818281683	0.09739392574894623	T_CC_300	2.4051321085657764	0.0	T_CC_000	2.4051321085657764	0.0
F7	C4	C-F	1	1-2	1.330175827384082	1.330175827384082	0.0	1.330175827384082	0.0	T_CC_300	1.330175827384082	0.0	T_CC_000	1.330175827384082	0.0
F8	F9	F-F	2	1-3	2.1865990841909215	2.1865990841909215	0.0	2.177311651646008	0.00928743254491371	T_CC_300	2.1865990841909215	0.0	T_CC_000	2.1865990841909215	0.0
F8	O1	F-O	6	>1-4	4.489803836477056	4.40343477950568	0.08636905697137554	2.7983082752897475	1.6914955611873084	T_CC_300	4.425385883699959	0.06441795277709694	T_CC_000	3.8611545222588206	0.6286493142182352
F8	O2	F-O	6	>1-4	6.27920825768064	6.468847782288099	-0.18963952460745936	2.7983082752897475	3.4808999823908926	T_CC_300	6.478526655289726	-0.19931839760908598	T_CC_000	5.942200033382443	0.3370082242981969
F8	O3	F-O	6	>1-4	4.33028855807988	5.862242488847861	-1.5319539307679815	2.7983082752897475	1.531980282790132	T_CC_300	5.88551222882023	-1.5552236707403502	T_CC_000	4.164308835304002	0.16597972277587747
F8	C1	C-F	3	1-4	3.7928553621512897	3.7928553621512897	0.0	3.027915086844433	0.7649402753068566	T_CC_300	3.7928553621512897	0.0	T_CC_000	3.7928553621512897	0.0
