matrix_id	n_rows	n_columns	singular_index_1based	singular_value	effective_threshold	supported	effective_supported_rank	spectral_uncertainty_delta	machine_only_tolerance	condition_number_2
GEOMETRY_ONLY_92	92	10	1	1.2725104806941572	0.1377060678961215	True	8	0.027541213579224302	2.5994975999280015e-14	146.29131518780218
GEOMETRY_ONLY_92	92	10	2	1.1888844029406584	0.1377060678961215	True	8	0.027541213579224302	2.5994975999280015e-14	146.29131518780218
GEOMETRY_ONLY_92	92	10	3	1.159764463857916	0.1377060678961215	True	8	0.027541213579224302	2.5994975999280015e-14	146.29131518780218
GEOMETRY_ONLY_92	92	10	4	0.9452072468812127	0.1377060678961215	True	8	0.027541213579224302	2.5994975999280015e-14	146.29131518780218
GEOMETRY_ONLY_92	92	10	5	0.4537790844708569	0.1377060678961215	True	8	0.027541213579224302	2.5994975999280015e-14	146.29131518780218
GEOMETRY_ONLY_92	92	10	6	0.41495907754456485	0.1377060678961215	True	8	0.027541213579224302	2.5994975999280015e-14	146.29131518780218
GEOMETRY_ONLY_92	92	10	7	0.3770099297541357	0.1377060678961215	True	8	0.027541213579224302	2.5994975999280015e-14	146.29131518780218
GEOMETRY_ONLY_92	92	10	8	0.15984692602506678	0.1377060678961215	True	8	0.027541213579224302	2.5994975999280015e-14	146.29131518780218
GEOMETRY_ONLY_92	92	10	9	0.016528245797633966	0.1377060678961215	False	8	0.027541213579224302	2.5994975999280015e-14	146.29131518780218
GEOMETRY_ONLY_92	92	10	10	0.008698469072210922	0.1377060678961215	False	8	0.027541213579224302	2.5994975999280015e-14	146.29131518780218
PES_ONLY_25	25	10	1	1.0911287998758012	0.005216465448398414	True	10	0.0010432930896796828	6.056981582268646e-15	136.3000654203649
PES_ONLY_25	25	10	2	0.8625005848210769	0.005216465448398414	True	10	0.0010432930896796828	6.056981582268646e-15	136.3000654203649
PES_ONLY_25	25	10	3	0.3230111392413066	0.005216465448398414	True	10	0.0010432930896796828	6.056981582268646e-15	136.3000654203649
PES_ONLY_25	25	10	4	0.2783784681140945	0.005216465448398414	True	10	0.0010432930896796828	6.056981582268646e-15	136.3000654203649
PES_ONLY_25	25	10	5	0.2576456745797783	0.005216465448398414	True	10	0.0010432930896796828	6.056981582268646e-15	136.3000654203649
PES_ONLY_25	25	10	6	0.09345627314937169	0.005216465448398414	True	10	0.0010432930896796828	6.056981582268646e-15	136.3000654203649
PES_ONLY_25	25	10	7	0.06099150272354207	0.005216465448398414	True	10	0.0010432930896796828	6.056981582268646e-15	136.3000654203649
PES_ONLY_25	25	10	8	0.047630055734066694	0.005216465448398414	True	10	0.0010432930896796828	6.056981582268646e-15	136.3000654203649
PES_ONLY_25	25	10	9	0.016892916632286547	0.005216465448398414	True	10	0.0010432930896796828	6.056981582268646e-15	136.3000654203649
PES_ONLY_25	25	10	10	0.00800534318535091	0.005216465448398414	True	10	0.0010432930896796828	6.056981582268646e-15	136.3000654203649
A_BASIN_GEOMETRY_ONLY_46	46	10	1	0.8984227084569757	0.060453155798830954	True	8	0.01209063115976619	9.176536106330265e-15	151.36909168141742
A_BASIN_GEOMETRY_ONLY_46	46	10	2	0.8405924410874561	0.060453155798830954	True	8	0.01209063115976619	9.176536106330265e-15	151.36909168141742
A_BASIN_GEOMETRY_ONLY_46	46	10	3	0.8200375847487033	0.060453155798830954	True	8	0.01209063115976619	9.176536106330265e-15	151.36909168141742
A_BASIN_GEOMETRY_ONLY_46	46	10	4	0.6688557465820355	0.060453155798830954	True	8	0.01209063115976619	9.176536106330265e-15	151.36909168141742
A_BASIN_GEOMETRY_ONLY_46	46	10	5	0.3230386203207959	0.060453155798830954	True	8	0.01209063115976619	9.176536106330265e-15	151.36909168141742
A_BASIN_GEOMETRY_ONLY_46	46	10	6	0.2931668098326436	0.060453155798830954	True	8	0.01209063115976619	9.176536106330265e-15	151.36909168141742
